task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,300,186,0.62,None,None
0,offline,0,None,2,1100,1087,0.9881818181818182,None,None
0,offline,0,None,3,100,71,0.71,None,None
0,offline,0,None,4,1150,1121,0.9747826086956521,None,None
0,offline,0,None,5,300,292,0.9733333333333334,None,None
0,none,0,1,1,300,164,0.5466666666666666,12.710012435913086,0.0
0,none,0,2,1,300,7,0.023333333333333334,9.984831094741821,0.0
0,none,0,2,2,1100,1093,0.9936363636363637,9.984831094741821,0.0
0,none,0,3,1,300,0,0.0,11.506284713745117,0.0
0,none,0,3,2,1100,553,0.5027272727272727,11.506284713745117,0.0
0,none,0,3,3,100,100,1.0,11.506284713745117,0.0
0,none,0,4,1,300,0,0.0,10.142879009246826,0.0
0,none,0,4,2,1100,3,0.0027272727272727275,10.142879009246826,0.0
0,none,0,4,3,100,15,0.15,10.142879009246826,0.0
0,none,0,4,4,1150,1149,0.9991304347826087,10.142879009246826,0.0
0,none,0,5,1,300,0,0.0,9.473666191101074,0.0
0,none,0,5,2,1100,0,0.0,9.473666191101074,0.0
0,none,0,5,3,100,2,0.02,9.473666191101074,0.0
0,none,0,5,4,1150,1085,0.9434782608695652,9.473666191101074,0.0
0,none,0,5,5,300,296,0.9866666666666667,9.473666191101074,0.0
0,exact,0,1,1,300,164,0.5466666666666666,11.693729162216187,0.0
0,exact,0,2,1,300,164,0.5466666666666666,14.383626937866211,0.0
0,exact,0,2,2,1100,1093,0.9936363636363637,14.383626937866211,0.0
0,exact,0,3,1,300,168,0.56,14.695703506469727,0.0
0,exact,0,3,2,1100,1093,0.9936363636363637,14.695703506469727,0.0
0,exact,0,3,3,100,92,0.92,14.695703506469727,0.0
0,exact,0,4,1,300,181,0.6033333333333334,13.740256071090698,0.0
0,exact,0,4,2,1100,1094,0.9945454545454545,13.740256071090698,0.0
0,exact,0,4,3,100,87,0.87,13.740256071090698,0.0
0,exact,0,4,4,1150,915,0.7956521739130434,13.740256071090698,0.0
0,exact,0,5,1,300,195,0.65,15.169888973236084,0.0
0,exact,0,5,2,1100,1094,0.9945454545454545,15.169888973236084,0.0
0,exact,0,5,3,100,87,0.87,15.169888973236084,0.0
0,exact,0,5,4,1150,909,0.7904347826086957,15.169888973236084,0.0
0,exact,0,5,5,300,278,0.9266666666666666,15.169888973236084,0.0
0,mp-gan,0,1,1,300,162,0.54,14.499725580215454,48.168288707733154
0,mp-gan,0,2,1,300,155,0.5166666666666667,15.593514919281006,46.31287217140198
0,mp-gan,0,2,2,1100,1093,0.9936363636363637,15.593514919281006,46.31287217140198
0,mp-gan,0,3,1,300,139,0.4633333333333333,18.610910415649414,47.39904570579529
0,mp-gan,0,3,2,1100,849,0.7718181818181818,18.610910415649414,47.39904570579529
0,mp-gan,0,3,3,100,100,1.0,18.610910415649414,47.39904570579529
0,mp-gan,0,4,1,300,118,0.3933333333333333,17.6740779876709,47.13300108909607
0,mp-gan,0,4,2,1100,717,0.6518181818181819,17.6740779876709,47.13300108909607
0,mp-gan,0,4,3,100,64,0.64,17.6740779876709,47.13300108909607
0,mp-gan,0,4,4,1150,1136,0.9878260869565217,17.6740779876709,47.13300108909607
0,mp-gan,0,5,1,300,127,0.42333333333333334,12.659045696258545,42.72488355636597
0,mp-gan,0,5,2,1100,717,0.6518181818181819,12.659045696258545,42.72488355636597
0,mp-gan,0,5,3,100,59,0.59,12.659045696258545,42.72488355636597
0,mp-gan,0,5,4,1150,1010,0.8782608695652174,12.659045696258545,42.72488355636597
0,mp-gan,0,5,5,300,277,0.9233333333333333,12.659045696258545,42.72488355636597
0,mp-wgan,0,1,1,300,163,0.5433333333333333,10.854972839355469,76.10947751998901
