class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,sg-cgan,1000,1000,0.924,0.334,2.803907957668192,0.1333822568566871,0.36191227063776604,989.0,0.0,11.0,1000.0
R1_work_at_computer,sg-cgan,1000,1000,0.961,0.0,1.000003459047378,4.134477926553272e-07,1.3698140228342388,1000.0,0.0,0.0,1000.0
R2_work_at_computer,sg-cgan,1000,1000,0.995,0.0,1.0000170920562415,2.188142079438501e-06,1.3434660411925512,1000.0,0.0,0.0,1000.0
R1_sleep,sg-cgan,1000,1000,0.994,0.0,1.0000284557322925,8.508841080405335e-06,0.9878548467453975,998.0,0.0,2.0,1000.0
R2_sleep,sg-cgan,1000,1000,0.971,1.0,1.0000870889160303,1.3237895551542204e-05,0.4200769892019731,994.0,0.0,6.0,1000.0
R1_bed_to_toilet,sg-cgan,163,1000,0.8650306748466258,1.0,1.0044437422017123,0.0006935216041071104,0.8988508517539106,162.0,0.0,1.0,1000.0
R2_bed_to_toilet,sg-cgan,107,1000,0.9158878504672897,1.0,1.0000029975494293,3.3166606774490627e-07,0.8220517566750075,103.0,0.0,4.0,1000.0
R2_prepare_dinner,sg-cgan,1000,1000,0.499,0.0,1.0000098742593622,1.9506878092000674e-06,1.098113701142927,1000.0,0.0,0.0,1000.0
R2_watch_TV,sg-cgan,1000,1000,0.926,0.0,1.0022695229028633,0.0006253193973976072,0.738859162374018,997.0,0.0,3.0,1000.0
R2_prepare_lunch,sg-cgan,563,1000,0.5577264653641207,0.0,1.0000010700842241,2.2770646987270974e-07,0.6239835102519009,553.0,0.0,10.0,1000.0
R1_work_at_dining_room_table,sg-cgan,521,1000,0.7293666026871402,0.377,1.00016976071529,2.1489984484828546e-05,0.7657059607226084,521.0,0.0,0.0,1000.0
