class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,mp-gan,1000,1000,0.924,0.791,8.324995469519646,0.20111006016111896,0.2496213429526468,891.0,70.0,109.0,930.0
R1_work_at_computer,mp-gan,1000,1000,0.961,1.0,1.0000000011793662,9.300327621298071e-11,0.4246775469761024,988.0,0.0,12.0,1000.0
R2_work_at_computer,mp-gan,1000,1000,0.995,1.0,1.0000000127747513,2.267912207935424e-09,0.13756105627942783,965.0,0.0,35.0,1000.0
R1_sleep,mp-gan,1000,1000,0.994,1.0,1.0002933174336692,2.4631163339812326e-05,0.5959075076832964,985.0,1.0,15.0,999.0
R2_sleep,mp-gan,1000,1000,0.971,1.0,1.0000041820888437,3.255885560586235e-07,0.6121339210014428,984.0,3.0,16.0,997.0
R1_bed_to_toilet,mp-gan,163,1000,0.8650306748466258,1.0,1.0000005640633165,1.0985892392480296e-07,0.4642193872632943,151.0,0.0,12.0,1000.0
R2_bed_to_toilet,mp-gan,107,1000,0.9158878504672897,1.0,1.0642942990130673,0.015164259565407788,0.19012144524074523,51.0,0.0,56.0,1000.0
R2_prepare_dinner,mp-gan,1000,1000,0.499,0.0,1.0005700119178902,8.101672362730335e-05,0.8412282133753047,915.0,0.0,85.0,1000.0
R2_watch_TV,mp-gan,1000,1000,0.926,0.0,1.0002518574706436,4.755814032840047e-05,1.010084799048838,1000.0,0.0,0.0,1000.0
R2_prepare_lunch,mp-gan,563,1000,0.5577264653641207,1.0,1.0002875417362211,3.1690604310947186e-05,0.5784292709119706,466.0,0.0,97.0,1000.0
R1_work_at_dining_room_table,mp-gan,521,1000,0.7293666026871402,1.0,1.0001821868144205,1.260845872211592e-05,0.35401754418773146,453.0,1.0,68.0,999.0
all,mp-wgan,1000,1000,0.903,0.796,6.308750008443241,0.3691533503111709,0.20134305615137557,884.0,79.0,116.0,921.0
R1_work_at_computer,mp-wgan,1000,1000,0.956,1.0,1.0000000003099374,4.336990213512185e-11,0.43144559985419356,984.0,0.0,16.0,1000.0
R2_work_at_computer,mp-wgan,1000,1000,0.992,1.0,1.0000000089585517,1.4876842154554111e-09,0.17817214877214535,954.0,3.0,46.0,997.0
R1_sleep,mp-wgan,1000,1000,0.994,1.0,1.000451197155368,0.00010566170758521095,0.533433354456056,993.0,4.0,7.0,996.0
R2_sleep,mp-wgan,1000,1000,0.973,1.0,1.0006653967311192,0.00015039380556475671,0.5082429675259775,1000.0,0.0,0.0,1000.0
R1_bed_to_toilet,mp-wgan,163,1000,0.8650306748466258,1.0,1.0012756347297578,0.00017078888916980894,0.3370387634373637,147.0,0.0,16.0,1000.0
R2_bed_to_toilet,mp-wgan,107,1000,0.9158878504672897,1.0,1.1866499704223064,0.038052808657263605,0.40268685239023094,91.0,0.0,16.0,1000.0
R2_prepare_dinner,mp-wgan,1000,1000,0.495,0.0,1.001042027766759,0.00014580579188351302,0.5975941145766684,803.0,3.0,197.0,997.0
R2_watch_TV,mp-wgan,1000,1000,0.922,0.0,1.0,0.0,0.9907401033071314,1000.0,0.0,0.0,1000.0
