task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,3,None,1,300,186,0.62,None,None
0,offline,3,None,2,1100,1087,0.9881818181818182,None,None
0,offline,3,None,3,100,71,0.71,None,None
0,offline,3,None,4,1150,1121,0.9747826086956521,None,None
0,offline,3,None,5,300,292,0.9733333333333334,None,None
0,mp-gan,3,1,1,300,166,0.5533333333333333,10.173977851867676,482.32781982421875
0,mp-gan,3,2,1,300,157,0.5233333333333333,11.848238229751587,471.10044288635254
0,mp-gan,3,2,2,1100,1093,0.9936363636363637,11.848238229751587,471.10044288635254
0,mp-gan,3,3,1,300,117,0.39,11.5516676902771,478.3208613395691
0,mp-gan,3,3,2,1100,1090,0.990909090909091,11.5516676902771,478.3208613395691
0,mp-gan,3,3,3,100,100,1.0,11.5516676902771,478.3208613395691
0,mp-gan,3,4,1,300,79,0.2633333333333333,11.485540866851807,473.072548866272
0,mp-gan,3,4,2,1100,1091,0.9918181818181818,11.485540866851807,473.072548866272
0,mp-gan,3,4,3,100,68,0.68,11.485540866851807,473.072548866272
0,mp-gan,3,4,4,1150,1067,0.9278260869565217,11.485540866851807,473.072548866272
0,mp-gan,3,5,1,300,90,0.3,11.421671152114868,485.336483001709
0,mp-gan,3,5,2,1100,1090,0.990909090909091,11.421671152114868,485.336483001709
0,mp-gan,3,5,3,100,68,0.68,11.421671152114868,485.336483001709
0,mp-gan,3,5,4,1150,1060,0.9217391304347826,11.421671152114868,485.336483001709
0,mp-gan,3,5,5,300,275,0.9166666666666666,11.421671152114868,485.336483001709
0,mp-wgan,3,1,1,300,166,0.5533333333333333,10.305724382400513,1583.036092042923
0,mp-wgan,3,2,1,300,164,0.5466666666666666,11.828495502471924,1605.7381751537323
0,mp-wgan,3,2,2,1100,1093,0.9936363636363637,11.828495502471924,1605.7381751537323
0,mp-wgan,3,3,1,300,162,0.54,11.753155708312988,1645.9001002311707
0,mp-wgan,3,3,2,1100,1092,0.9927272727272727,11.753155708312988,1645.9001002311707
0,mp-wgan,3,3,3,100,100,1.0,11.753155708312988,1645.9001002311707
0,mp-wgan,3,4,1,300,158,0.5266666666666666,11.871177673339844,1660.3242938518524
0,mp-wgan,3,4,2,1100,1092,0.9927272727272727,11.871177673339844,1660.3242938518524
0,mp-wgan,3,4,3,100,70,0.7,11.871177673339844,1660.3242938518524
0,mp-wgan,3,4,4,1150,1137,0.9886956521739131,11.871177673339844,1660.3242938518524
0,mp-wgan,3,5,1,300,153,0.51,11.808454275131226,1653.6093406677246
0,mp-wgan,3,5,2,1100,1090,0.990909090909091,11.808454275131226,1653.6093406677246
0,mp-wgan,3,5,3,100,64,0.64,11.808454275131226,1653.6093406677246
0,mp-wgan,3,5,4,1150,1108,0.9634782608695652,11.808454275131226,1653.6093406677246
0,mp-wgan,3,5,5,300,271,0.9033333333333333,11.808454275131226,1653.6093406677246
1,offline,3,None,1,550,542,0.9854545454545455,None,None
1,offline,3,None,2,300,133,0.44333333333333336,None,None
1,offline,3,None,3,350,302,0.8628571428571429,None,None
1,offline,3,None,4,1200,1196,0.9966666666666667,None,None
1,offline,3,None,5,600,593,0.9883333333333333,None,None
1,mp-gan,3,1,1,550,549,0.9981818181818182,8.377408266067505,478.9726724624634
1,mp-gan,3,2,1,550,550,1.0,12.420066356658936,498.78331232070923
1,mp-gan,3,2,2,300,36,0.12,12.420066356658936,498.78331232070923
1,mp-gan,3,3,1,550,542,0.9854545454545455,11.523729801177979,507.312620639801
1,mp-gan,3,3,2,300,22,0.07333333333333333,11.523729801177979,507.312620639801
1,mp-gan,3,3,3,350,273,0.78,11.523729801177979,507.312620639801
1,mp-gan,3,4,1,550,541,0.9836363636363636,11.717397689819336,482.83986139297485
1,mp-gan,3,4,2,300,45,0.15,11.717397689819336,482.83986139297485
1,mp-gan,3,4,3,350,278,0.7942857142857143,11.717397689819336,482.83986139297485
1,mp-gan,3,4,4,1200,1188,0.99,11.717397689819336,482.83986139297485
1,mp-gan,3,5,1,550,539,0.98,11.745986938476562,478.64401268959045
1,mp-gan,3,5,2,300,52,0.17333333333333334,11.745986938476562,478.64401268959045
1,mp-gan,3,5,3,350,266,0.76,11.745986938476562,478.64401268959045
1,mp-gan,3,5,4,1200,1153,0.9608333333333333,11.745986938476562,478.64401268959045
1,mp-gan,3,5,5,600,564,0.94,11.745986938476562,478.64401268959045
1,mp-wgan,3,1,1,550,549,0.9981818181818182,8.345468997955322,1574.0952019691467
1,mp-wgan,3,2,1,550,547,0.9945454545454545,12.392086505889893,1659.835809469223
1,mp-wgan,3,2,2,300,34,0.11333333333333333,12.392086505889893,1659.835809469223
1,mp-wgan,3,3,1,550,542,0.9854545454545455,11.595781326293945,1572.039305448532
