task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,300,186,0.62,None,None
0,offline,0,None,2,1100,1087,0.9881818181818182,None,None
0,offline,0,None,3,100,71,0.71,None,None
0,offline,0,None,4,1150,1121,0.9747826086956521,None,None
0,offline,0,None,5,300,292,0.9733333333333334,None,None
0,none,0,1,1,300,164,0.5466666666666666,11.37935185432434,0.0
0,none,0,2,1,300,0,0.0,9.829981803894043,0.0
0,none,0,2,2,1100,1093,0.9936363636363637,9.829981803894043,0.0
0,none,0,3,1,300,0,0.0,9.104978561401367,0.0
0,none,0,3,2,1100,0,0.0,9.104978561401367,0.0
0,none,0,3,3,100,100,1.0,9.104978561401367,0.0
0,none,0,4,1,300,0,0.0,9.510907411575317,0.0
0,none,0,4,2,1100,0,0.0,9.510907411575317,0.0
0,none,0,4,3,100,0,0.0,9.510907411575317,0.0
0,none,0,4,4,1150,1150,1.0,9.510907411575317,0.0
0,none,0,5,1,300,0,0.0,11.097371339797974,0.0
0,none,0,5,2,1100,0,0.0,11.097371339797974,0.0
0,none,0,5,3,100,0,0.0,11.097371339797974,0.0
0,none,0,5,4,1150,84,0.07304347826086957,11.097371339797974,0.0
0,none,0,5,5,300,298,0.9933333333333333,11.097371339797974,0.0
0,exact,0,1,1,300,164,0.5466666666666666,14.219352722167969,0.0
0,exact,0,2,1,300,165,0.55,15.483259916305542,0.0
0,exact,0,2,2,1100,1093,0.9936363636363637,15.483259916305542,0.0
0,exact,0,3,1,300,127,0.42333333333333334,15.448719501495361,0.0
0,exact,0,3,2,1100,1092,0.9927272727272727,15.448719501495361,0.0
0,exact,0,3,3,100,100,1.0,15.448719501495361,0.0
0,exact,0,4,1,300,163,0.5433333333333333,16.32787537574768,0.0
0,exact,0,4,2,1100,1092,0.9927272727272727,16.32787537574768,0.0
0,exact,0,4,3,100,70,0.7,16.32787537574768,0.0
0,exact,0,4,4,1150,1137,0.9886956521739131,16.32787537574768,0.0
0,exact,0,5,1,300,156,0.52,16.245678186416626,0.0
0,exact,0,5,2,1100,1092,0.9927272727272727,16.245678186416626,0.0
0,exact,0,5,3,100,69,0.69,16.245678186416626,0.0
0,exact,0,5,4,1150,1134,0.9860869565217392,16.245678186416626,0.0
0,exact,0,5,5,300,298,0.9933333333333333,16.245678186416626,0.0
0,mp-gan,0,1,1,300,159,0.53,9.923482894897461,32.98181700706482
0,mp-gan,0,2,1,300,167,0.5566666666666666,12.746922969818115,33.29100298881531
0,mp-gan,0,2,2,1100,1093,0.9936363636363637,12.746922969818115,33.29100298881531
0,mp-gan,0,3,1,300,120,0.4,12.16347885131836,33.78867220878601
0,mp-gan,0,3,2,1100,792,0.72,12.16347885131836,33.78867220878601
0,mp-gan,0,3,3,100,100,1.0,12.16347885131836,33.78867220878601
0,mp-gan,0,4,1,300,74,0.24666666666666667,11.175123453140259,32.64173698425293
0,mp-gan,0,4,2,1100,779,0.7081818181818181,11.175123453140259,32.64173698425293
0,mp-gan,0,4,3,100,64,0.64,11.175123453140259,32.64173698425293
0,mp-gan,0,4,4,1150,1139,0.9904347826086957,11.175123453140259,32.64173698425293
0,mp-gan,0,5,1,300,63,0.21,11.073397397994995,32.940937519073486
0,mp-gan,0,5,2,1100,777,0.7063636363636364,11.073397397994995,32.940937519073486
0,mp-gan,0,5,3,100,61,0.61,11.073397397994995,32.940937519073486
0,mp-gan,0,5,4,1150,1103,0.9591304347826087,11.073397397994995,32.940937519073486
0,mp-gan,0,5,5,300,27,0.09,11.073397397994995,32.940937519073486
0,mp-wgan,0,1,1,300,166,0.5533333333333333,9.921476602554321,60.52419900894165
0,mp-wgan,0,2,1,300,8,0.02666666666666667,8.260916471481323,58.487643003463745
