task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,1,1,300,164,0.5466666666666666,None,None
0,offline,0,2,1,300,157,0.5233333333333333,None,None
0,offline,0,2,2,1100,1093,0.9936363636363637,None,None
0,offline,0,3,1,300,207,0.69,None,None
0,offline,0,3,2,1100,1089,0.99,None,None
0,offline,0,3,3,100,100,1.0,None,None
0,offline,0,4,1,300,96,0.32,None,None
0,offline,0,4,2,1100,1093,0.9936363636363637,None,None
0,offline,0,4,3,100,73,0.73,None,None
0,offline,0,4,4,1150,1124,0.9773913043478261,None,None
0,offline,0,5,1,300,200,0.6666666666666666,None,None
0,offline,0,5,2,1100,1089,0.99,None,None
0,offline,0,5,3,100,80,0.8,None,None
0,offline,0,5,4,1150,1106,0.9617391304347827,None,None
0,offline,0,5,5,300,293,0.9766666666666667,None,None
1,offline,0,1,1,550,549,0.9981818181818182,None,None
1,offline,0,2,1,550,549,0.9981818181818182,None,None
1,offline,0,2,2,300,166,0.5533333333333333,None,None
1,offline,0,3,1,550,548,0.9963636363636363,None,None
1,offline,0,3,2,300,200,0.6666666666666666,None,None
1,offline,0,3,3,350,304,0.8685714285714285,None,None
1,offline,0,4,1,550,548,0.9963636363636363,None,None
1,offline,0,4,2,300,168,0.56,None,None
1,offline,0,4,3,350,308,0.88,None,None
1,offline,0,4,4,1200,1196,0.9966666666666667,None,None
1,offline,0,5,1,550,542,0.9854545454545455,None,None
1,offline,0,5,2,300,119,0.39666666666666667,None,None
1,offline,0,5,3,350,282,0.8057142857142857,None,None
1,offline,0,5,4,1200,1195,0.9958333333333333,None,None
1,offline,0,5,5,600,591,0.985,None,None
2,offline,0,1,1,100,100,1.0,None,None
2,offline,0,2,1,100,60,0.6,None,None
2,offline,0,2,2,1150,1024,0.8904347826086957,None,None
2,offline,0,3,1,100,24,0.24,None,None
2,offline,0,3,2,1150,1107,0.9626086956521739,None,None
2,offline,0,3,3,350,348,0.9942857142857143,None,None
2,offline,0,4,1,100,98,0.98,None,None
2,offline,0,4,2,1150,929,0.8078260869565217,None,None
2,offline,0,4,3,350,317,0.9057142857142857,None,None
2,offline,0,4,4,300,280,0.9333333333333333,None,None
2,offline,0,5,1,100,46,0.46,None,None
2,offline,0,5,2,1150,1086,0.9443478260869566,None,None
2,offline,0,5,3,350,316,0.9028571428571428,None,None
2,offline,0,5,4,300,282,0.94,None,None
2,offline,0,5,5,1100,1092,0.9927272727272727,None,None
3,offline,0,1,1,100,100,1.0,None,None
3,offline,0,2,1,100,99,0.99,None,None
3,offline,0,2,2,1450,1447,0.9979310344827587,None,None
3,offline,0,3,1,100,51,0.51,None,None
3,offline,0,3,2,1450,1448,0.9986206896551724,None,None
3,offline,0,3,3,500,433,0.866,None,None
3,offline,0,4,1,100,25,0.25,None,None
3,offline,0,4,2,1450,1441,0.9937931034482759,None,None
3,offline,0,4,3,500,483,0.966,None,None
3,offline,0,4,4,550,546,0.9927272727272727,None,None
3,offline,0,5,1,100,73,0.73,None,None
3,offline,0,5,2,1450,1442,0.9944827586206897,None,None
3,offline,0,5,3,500,318,0.636,None,None
3,offline,0,5,4,550,545,0.990909090909091,None,None
3,offline,0,5,5,350,319,0.9114285714285715,None,None
4,offline,0,1,1,300,294,0.98,None,None
4,offline,0,2,1,300,271,0.9033333333333333,None,None
4,offline,0,2,2,1150,1106,0.9617391304347827,None,None
4,offline,0,3,1,300,264,0.88,None,None
4,offline,0,3,2,1150,1134,0.9860869565217392,None,None
4,offline,0,3,3,300,295,0.9833333333333333,None,None
4,offline,0,4,1,300,264,0.88,None,None
4,offline,0,4,2,1150,1116,0.9704347826086956,None,None
4,offline,0,4,3,300,296,0.9866666666666667,None,None
4,offline,0,4,4,1100,1090,0.990909090909091,None,None
4,offline,0,5,1,300,77,0.25666666666666665,None,None
4,offline,0,5,2,1150,1086,0.9443478260869566,None,None
4,offline,0,5,3,300,294,0.98,None,None
4,offline,0,5,4,1100,1088,0.9890909090909091,None,None
4,offline,0,5,5,100,97,0.97,None,None
5,offline,0,1,1,1150,1150,1.0,None,None
5,offline,0,2,1,1150,1106,0.9617391304347827,None,None
5,offline,0,2,2,250,246,0.984,None,None
5,offline,0,3,1,1150,1137,0.9886956521739131,None,None
5,offline,0,3,2,250,242,0.968,None,None
5,offline,0,3,3,300,295,0.9833333333333333,None,None
5,offline,0,4,1,1150,1146,0.9965217391304347,None,None
5,offline,0,4,2,250,58,0.232,None,None
5,offline,0,4,3,300,296,0.9866666666666667,None,None
5,offline,0,4,4,650,639,0.9830769230769231,None,None
5,offline,0,5,1,1150,1121,0.9747826086956521,None,None
5,offline,0,5,2,250,233,0.932,None,None
5,offline,0,5,3,300,296,0.9866666666666667,None,None
5,offline,0,5,4,650,541,0.8323076923076923,None,None
5,offline,0,5,5,650,621,0.9553846153846154,None,None
6,offline,0,1,1,800,800,1.0,None,None
6,offline,0,2,1,800,790,0.9875,None,None
6,offline,0,2,2,850,846,0.9952941176470588,None,None
6,offline,0,3,1,800,784,0.98,None,None
6,offline,0,3,2,850,806,0.9482352941176471,None,None
6,offline,0,3,3,100,79,0.79,None,None
6,offline,0,4,1,800,613,0.76625,None,None
6,offline,0,4,2,850,837,0.9847058823529412,None,None
6,offline,0,4,3,100,71,0.71,None,None
6,offline,0,4,4,1000,969,0.969,None,None
6,offline,0,5,1,800,619,0.77375,None,None
6,offline,0,5,2,850,834,0.9811764705882353,None,None
6,offline,0,5,3,100,64,0.64,None,None
6,offline,0,5,4,1000,961,0.961,None,None
6,offline,0,5,5,300,295,0.9833333333333333,None,None
7,offline,0,1,1,1200,1200,1.0,None,None
7,offline,0,2,1,1200,1195,0.9958333333333333,None,None
7,offline,0,2,2,550,550,1.0,None,None
7,offline,0,3,1,1200,1195,0.9958333333333333,None,None
7,offline,0,3,2,550,550,1.0,None,None
7,offline,0,3,3,300,105,0.35,None,None
7,offline,0,4,1,1200,1152,0.96,None,None
7,offline,0,4,2,550,548,0.9963636363636363,None,None
7,offline,0,4,3,300,210,0.7,None,None
7,offline,0,4,4,600,586,0.9766666666666667,None,None
7,offline,0,5,1,1200,1197,0.9975,None,None
7,offline,0,5,2,550,546,0.9927272727272727,None,None
7,offline,0,5,3,300,204,0.68,None,None
7,offline,0,5,4,600,583,0.9716666666666667,None,None
7,offline,0,5,5,350,306,0.8742857142857143,None,None
8,offline,0,1,1,650,650,1.0,None,None
8,offline,0,2,1,650,649,0.9984615384615385,None,None
8,offline,0,2,2,900,898,0.9977777777777778,None,None
8,offline,0,3,1,650,648,0.9969230769230769,None,None
8,offline,0,3,2,900,896,0.9955555555555555,None,None
8,offline,0,3,3,550,542,0.9854545454545455,None,None
8,offline,0,4,1,650,623,0.9584615384615385,None,None
8,offline,0,4,2,900,895,0.9944444444444445,None,None
8,offline,0,4,3,550,540,0.9818181818181818,None,None
8,offline,0,4,4,500,464,0.928,None,None
8,offline,0,5,1,650,627,0.9646153846153847,None,None
8,offline,0,5,2,900,895,0.9944444444444445,None,None
8,offline,0,5,3,550,533,0.9690909090909091,None,None
8,offline,0,5,4,500,449,0.898,None,None
8,offline,0,5,5,400,291,0.7275,None,None
9,offline,0,1,1,100,100,1.0,None,None
9,offline,0,2,1,100,99,0.99,None,None
9,offline,0,2,2,650,650,1.0,None,None
9,offline,0,3,1,100,99,0.99,None,None
