task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,1200,1197,0.9975,None,None
0,offline,0,None,2,1100,1093,0.9936363636363637,None,None
0,offline,0,None,3,50,0,0.0,None,None
0,offline,0,None,4,500,484,0.968,None,None
0,offline,0,None,5,200,47,0.235,None,None
0,offline,1,None,1,1200,1197,0.9975,None,None
0,offline,1,None,2,1100,1093,0.9936363636363637,None,None
0,offline,1,None,3,50,16,0.32,None,None
0,offline,1,None,4,500,483,0.966,None,None
0,offline,1,None,5,200,60,0.3,None,None
0,offline,2,None,1,1200,1196,0.9966666666666667,None,None
0,offline,2,None,2,1100,1093,0.9936363636363637,None,None
0,offline,2,None,3,50,25,0.5,None,None
0,offline,2,None,4,500,485,0.97,None,None
0,offline,2,None,5,200,57,0.285,None,None
0,offline,3,None,1,1200,1196,0.9966666666666667,None,None
0,offline,3,None,2,1100,1094,0.9945454545454545,None,None
0,offline,3,None,3,50,34,0.68,None,None
0,offline,3,None,4,500,303,0.606,None,None
0,offline,3,None,5,200,150,0.75,None,None
0,offline,4,None,1,1200,1196,0.9966666666666667,None,None
0,offline,4,None,2,1100,1095,0.9954545454545455,None,None
0,offline,4,None,3,50,29,0.58,None,None
0,offline,4,None,4,500,480,0.96,None,None
0,offline,4,None,5,200,61,0.305,None,None
0,offline,5,None,1,1200,1196,0.9966666666666667,None,None
0,offline,5,None,2,1100,1094,0.9945454545454545,None,None
0,offline,5,None,3,50,31,0.62,None,None
0,offline,5,None,4,500,484,0.968,None,None
0,offline,5,None,5,200,60,0.3,None,None
0,offline,6,None,1,1200,1197,0.9975,None,None
0,offline,6,None,2,1100,1093,0.9936363636363637,None,None
0,offline,6,None,3,50,34,0.68,None,None
0,offline,6,None,4,500,393,0.786,None,None
0,offline,6,None,5,200,103,0.515,None,None
0,offline,7,None,1,1200,1197,0.9975,None,None
0,offline,7,None,2,1100,1093,0.9936363636363637,None,None
0,offline,7,None,3,50,30,0.6,None,None
0,offline,7,None,4,500,477,0.954,None,None
0,offline,7,None,5,200,66,0.33,None,None
