task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,300,201,0.67,None,None
0,offline,0,None,2,1100,1094,0.9945454545454545,None,None
0,offline,0,None,3,100,67,0.67,None,None
0,offline,0,None,4,1150,1130,0.9826086956521739,None,None
0,offline,0,None,5,300,290,0.9666666666666667,None,None
0,offline,1,None,1,300,94,0.31333333333333335,None,None
0,offline,1,None,2,1100,1091,0.9918181818181818,None,None
0,offline,1,None,3,100,70,0.7,None,None
0,offline,1,None,4,1150,1127,0.98,None,None
0,offline,1,None,5,300,291,0.97,None,None
0,offline,2,None,1,300,193,0.6433333333333333,None,None
0,offline,2,None,2,1100,1092,0.9927272727272727,None,None
0,offline,2,None,3,100,64,0.64,None,None
0,offline,2,None,4,1150,1134,0.9860869565217392,None,None
0,offline,2,None,5,300,290,0.9666666666666667,None,None
0,offline,3,None,1,300,205,0.6833333333333333,None,None
0,offline,3,None,2,1100,1092,0.9927272727272727,None,None
0,offline,3,None,3,100,62,0.62,None,None
0,offline,3,None,4,1150,1132,0.9843478260869565,None,None
0,offline,3,None,5,300,295,0.9833333333333333,None,None
0,offline,4,None,1,300,203,0.6766666666666666,None,None
0,offline,4,None,2,1100,1090,0.990909090909091,None,None
0,offline,4,None,3,100,63,0.63,None,None
0,offline,4,None,4,1150,1133,0.9852173913043478,None,None
0,offline,4,None,5,300,293,0.9766666666666667,None,None
0,offline,5,None,1,300,101,0.33666666666666667,None,None
0,offline,5,None,2,1100,1088,0.9890909090909091,None,None
0,offline,5,None,3,100,72,0.72,None,None
0,offline,5,None,4,1150,1115,0.9695652173913043,None,None
0,offline,5,None,5,300,293,0.9766666666666667,None,None
0,offline,6,None,1,300,181,0.6033333333333334,None,None
0,offline,6,None,2,1100,1090,0.990909090909091,None,None
0,offline,6,None,3,100,78,0.78,None,None
0,offline,6,None,4,1150,1096,0.9530434782608695,None,None
0,offline,6,None,5,300,293,0.9766666666666667,None,None
0,offline,7,None,1,300,204,0.68,None,None
0,offline,7,None,2,1100,1088,0.9890909090909091,None,None
0,offline,7,None,3,100,72,0.72,None,None
0,offline,7,None,4,1150,1107,0.9626086956521739,None,None
0,offline,7,None,5,300,293,0.9766666666666667,None,None
1,offline,0,None,1,550,538,0.9781818181818182,None,None
1,offline,0,None,2,300,103,0.3433333333333333,None,None
1,offline,0,None,3,350,309,0.8828571428571429,None,None
1,offline,0,None,4,1200,1186,0.9883333333333333,None,None
1,offline,0,None,5,600,596,0.9933333333333333,None,None
1,offline,1,None,1,550,538,0.9781818181818182,None,None
1,offline,1,None,2,300,111,0.37,None,None
1,offline,1,None,3,350,303,0.8657142857142858,None,None
1,offline,1,None,4,1200,1194,0.995,None,None
1,offline,1,None,5,600,595,0.9916666666666667,None,None
1,offline,2,None,1,550,538,0.9781818181818182,None,None
1,offline,2,None,2,300,163,0.5433333333333333,None,None
1,offline,2,None,3,350,305,0.8714285714285714,None,None
1,offline,2,None,4,1200,1194,0.995,None,None
1,offline,2,None,5,600,595,0.9916666666666667,None,None
1,offline,3,None,1,550,541,0.9836363636363636,None,None
1,offline,3,None,2,300,108,0.36,None,None
1,offline,3,None,3,350,300,0.8571428571428571,None,None
1,offline,3,None,4,1200,1194,0.995,None,None
1,offline,3,None,5,600,594,0.99,None,None
1,offline,4,None,1,550,541,0.9836363636363636,None,None
1,offline,4,None,2,300,203,0.6766666666666666,None,None
1,offline,4,None,3,350,295,0.8428571428571429,None,None
1,offline,4,None,4,1200,1194,0.995,None,None
1,offline,4,None,5,600,593,0.9883333333333333,None,None
1,offline,5,None,1,550,539,0.98,None,None
1,offline,5,None,2,300,130,0.43333333333333335,None,None
1,offline,5,None,3,350,213,0.6085714285714285,None,None
1,offline,5,None,4,1200,1194,0.995,None,None
1,offline,5,None,5,600,594,0.99,None,None
1,offline,6,None,1,550,538,0.9781818181818182,None,None
1,offline,6,None,2,300,208,0.6933333333333334,None,None
1,offline,6,None,3,350,304,0.8685714285714285,None,None
1,offline,6,None,4,1200,1194,0.995,None,None
1,offline,6,None,5,600,595,0.9916666666666667,None,None
1,offline,7,None,1,550,541,0.9836363636363636,None,None
1,offline,7,None,2,300,161,0.5366666666666666,None,None
1,offline,7,None,3,350,288,0.8228571428571428,None,None
1,offline,7,None,4,1200,1195,0.9958333333333333,None,None
1,offline,7,None,5,600,594,0.99,None,None
2,offline,0,None,1,100,72,0.72,None,None
2,offline,0,None,2,1150,1016,0.8834782608695653,None,None
2,offline,0,None,3,350,306,0.8742857142857143,None,None
2,offline,0,None,4,300,278,0.9266666666666666,None,None
2,offline,0,None,5,1100,1092,0.9927272727272727,None,None
2,offline,1,None,1,100,91,0.91,None,None
2,offline,1,None,2,1150,930,0.808695652173913,None,None
2,offline,1,None,3,350,317,0.9057142857142857,None,None
2,offline,1,None,4,300,280,0.9333333333333333,None,None
2,offline,1,None,5,1100,1093,0.9936363636363637,None,None
2,offline,2,None,1,100,56,0.56,None,None
2,offline,2,None,2,1150,1044,0.9078260869565218,None,None
2,offline,2,None,3,350,318,0.9085714285714286,None,None
2,offline,2,None,4,300,284,0.9466666666666667,None,None
2,offline,2,None,5,1100,1094,0.9945454545454545,None,None
2,offline,3,None,1,100,62,0.62,None,None
2,offline,3,None,2,1150,1015,0.8826086956521739,None,None
2,offline,3,None,3,350,313,0.8942857142857142,None,None
2,offline,3,None,4,300,282,0.94,None,None
2,offline,3,None,5,1100,1092,0.9927272727272727,None,None
2,offline,4,None,1,100,24,0.24,None,None
2,offline,4,None,2,1150,1142,0.9930434782608696,None,None
2,offline,4,None,3,350,317,0.9057142857142857,None,None
2,offline,4,None,4,300,282,0.94,None,None
2,offline,4,None,5,1100,1092,0.9927272727272727,None,None
2,offline,5,None,1,100,23,0.23,None,None
2,offline,5,None,2,1150,1138,0.9895652173913043,None,None
2,offline,5,None,3,350,319,0.9114285714285715,None,None
2,offline,5,None,4,300,277,0.9233333333333333,None,None
2,offline,5,None,5,1100,1088,0.9890909090909091,None,None
2,offline,6,None,1,100,24,0.24,None,None
