task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,300,186,0.62,None,None
0,offline,0,None,2,1100,1087,0.9881818181818182,None,None
0,offline,0,None,3,100,71,0.71,None,None
0,offline,0,None,4,1150,1121,0.9747826086956521,None,None
0,offline,0,None,5,300,292,0.9733333333333334,None,None
0,sg-cgan,0,1,1,300,142,0.47333333333333333,10.451049327850342,315.5293469429016
0,sg-cgan,0,2,1,300,140,0.4666666666666667,13.454017639160156,603.4288713932037
0,sg-cgan,0,2,2,1100,0,0.0,13.454017639160156,603.4288713932037
0,sg-cgan,0,3,1,300,126,0.42,11.86811113357544,586.4441812038422
0,sg-cgan,0,3,2,1100,0,0.0,11.86811113357544,586.4441812038422
0,sg-cgan,0,3,3,100,0,0.0,11.86811113357544,586.4441812038422
0,sg-cgan,0,4,1,300,122,0.4066666666666667,11.797765493392944,589.041797876358
0,sg-cgan,0,4,2,1100,0,0.0,11.797765493392944,589.041797876358
0,sg-cgan,0,4,3,100,0,0.0,11.797765493392944,589.041797876358
0,sg-cgan,0,4,4,1150,0,0.0,11.797765493392944,589.041797876358
0,sg-cgan,0,5,1,300,128,0.4266666666666667,12.766172647476196,598.3126945495605
0,sg-cgan,0,5,2,1100,0,0.0,12.766172647476196,598.3126945495605
0,sg-cgan,0,5,3,100,0,0.0,12.766172647476196,598.3126945495605
0,sg-cgan,0,5,4,1150,0,0.0,12.766172647476196,598.3126945495605
0,sg-cgan,0,5,5,300,0,0.0,12.766172647476196,598.3126945495605
0,offline,1,5,1,300,186,0.62,12.766172647476196,598.3126945495605
0,offline,1,5,2,1100,1087,0.9881818181818182,12.766172647476196,598.3126945495605
0,offline,1,5,3,100,71,0.71,12.766172647476196,598.3126945495605
0,offline,1,5,4,1150,1121,0.9747826086956521,12.766172647476196,598.3126945495605
0,offline,1,5,5,300,292,0.9733333333333334,12.766172647476196,598.3126945495605
0,sg-cgan,1,1,1,300,142,0.47333333333333333,9.765547037124634,317.89188957214355
0,sg-cgan,1,2,1,300,134,0.44666666666666666,12.554125547409058,648.7233045101166
0,sg-cgan,1,2,2,1100,1093,0.9936363636363637,12.554125547409058,648.7233045101166
0,sg-cgan,1,3,1,300,121,0.4033333333333333,11.845445394515991,591.0207071304321
0,sg-cgan,1,3,2,1100,1088,0.9890909090909091,11.845445394515991,591.0207071304321
0,sg-cgan,1,3,3,100,100,1.0,11.845445394515991,591.0207071304321
0,sg-cgan,1,4,1,300,112,0.37333333333333335,11.768312215805054,586.7606348991394
0,sg-cgan,1,4,2,1100,945,0.8590909090909091,11.768312215805054,586.7606348991394
0,sg-cgan,1,4,3,100,65,0.65,11.768312215805054,586.7606348991394
0,sg-cgan,1,4,4,1150,1092,0.9495652173913044,11.768312215805054,586.7606348991394
0,sg-cgan,1,5,1,300,102,0.34,11.81734561920166,583.4371285438538
0,sg-cgan,1,5,2,1100,917,0.8336363636363636,11.81734561920166,583.4371285438538
0,sg-cgan,1,5,3,100,64,0.64,11.81734561920166,583.4371285438538
0,sg-cgan,1,5,4,1150,1081,0.94,11.81734561920166,583.4371285438538
0,sg-cgan,1,5,5,300,279,0.93,11.81734561920166,583.4371285438538
0,offline,2,5,1,300,186,0.62,11.81734561920166,583.4371285438538
0,offline,2,5,2,1100,1087,0.9881818181818182,11.81734561920166,583.4371285438538
0,offline,2,5,3,100,71,0.71,11.81734561920166,583.4371285438538
0,offline,2,5,4,1150,1121,0.9747826086956521,11.81734561920166,583.4371285438538
0,offline,2,5,5,300,292,0.9733333333333334,11.81734561920166,583.4371285438538
0,sg-cgan,2,1,1,300,142,0.47333333333333333,9.772221326828003,300.40873432159424
0,sg-cgan,2,2,1,300,137,0.45666666666666667,12.91979694366455,629.588794708252
