task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,1200,1151,0.9591666666666666,None,None
0,offline,0,None,2,1100,1090,0.990909090909091,None,None
0,offline,0,None,3,50,45,0.9,None,None
0,offline,0,None,4,500,353,0.706,None,None
0,offline,0,None,5,200,118,0.59,None,None
0,mp-gan,0,1,1,1200,1200,1.0,5.925153017044067,20.87231683731079
0,mp-gan,0,2,1,1200,1196,0.9966666666666667,9.840202808380127,21.00407910346985
0,mp-gan,0,2,2,1100,1093,0.9936363636363637,9.840202808380127,21.00407910346985
0,mp-gan,0,3,1,1200,1119,0.9325,9.965346097946167,20.67322325706482
0,mp-gan,0,3,2,1100,868,0.7890909090909091,9.965346097946167,20.67322325706482
0,mp-gan,0,3,3,50,46,0.92,9.965346097946167,20.67322325706482
0,mp-gan,0,4,1,1200,1120,0.9333333333333333,9.679113149642944,20.63880157470703
0,mp-gan,0,4,2,1100,850,0.7727272727272727,9.679113149642944,20.63880157470703
0,mp-gan,0,4,3,50,33,0.66,9.679113149642944,20.63880157470703
0,mp-gan,0,4,4,500,453,0.906,9.679113149642944,20.63880157470703
0,mp-gan,0,5,1,1200,1133,0.9441666666666667,9.819737195968628,21.218252182006836
0,mp-gan,0,5,2,1100,854,0.7763636363636364,9.819737195968628,21.218252182006836
0,mp-gan,0,5,3,50,30,0.6,9.819737195968628,21.218252182006836
0,mp-gan,0,5,4,500,110,0.22,9.819737195968628,21.218252182006836
0,mp-gan,0,5,5,200,189,0.945,9.819737195968628,21.218252182006836
0,mp-wgan,0,1,1,1200,1200,1.0,7.078068494796753,43.397931814193726
0,mp-wgan,0,2,1,1200,1196,0.9966666666666667,9.237293481826782,41.5418963432312
0,mp-wgan,0,2,2,1100,1094,0.9945454545454545,9.237293481826782,41.5418963432312
0,mp-wgan,0,3,1,1200,1117,0.9308333333333333,10.588680982589722,42.33377981185913
0,mp-wgan,0,3,2,1100,927,0.8427272727272728,10.588680982589722,42.33377981185913
0,mp-wgan,0,3,3,50,45,0.9,10.588680982589722,42.33377981185913
0,mp-wgan,0,4,1,1200,1119,0.9325,10.443070411682129,41.44388461112976
0,mp-wgan,0,4,2,1100,1092,0.9927272727272727,10.443070411682129,41.44388461112976
0,mp-wgan,0,4,3,50,36,0.72,10.443070411682129,41.44388461112976
0,mp-wgan,0,4,4,500,488,0.976,10.443070411682129,41.44388461112976
0,mp-wgan,0,5,1,1200,1129,0.9408333333333333,11.03170657157898,42.69481897354126
0,mp-wgan,0,5,2,1100,1091,0.9918181818181818,11.03170657157898,42.69481897354126
0,mp-wgan,0,5,3,50,33,0.66,11.03170657157898,42.69481897354126
0,mp-wgan,0,5,4,500,14,0.028,11.03170657157898,42.69481897354126
0,mp-wgan,0,5,5,200,195,0.975,11.03170657157898,42.69481897354126
0,sg-cgan,0,1,1,1200,1200,1.0,6.614309549331665,74.97543025016785
0,sg-cgan,0,2,1,1200,1197,0.9975,10.884903192520142,152.48841857910156
0,sg-cgan,0,2,2,1100,1094,0.9945454545454545,10.884903192520142,152.48841857910156
0,sg-cgan,0,3,1,1200,1115,0.9291666666666667,11.148096561431885,154.3219621181488
0,sg-cgan,0,3,2,1100,1088,0.9890909090909091,11.148096561431885,154.3219621181488
0,sg-cgan,0,3,3,50,44,0.88,11.148096561431885,154.3219621181488
0,sg-cgan,0,4,1,1200,1119,0.9325,12.04869031906128,173.69406509399414
0,sg-cgan,0,4,2,1100,620,0.5636363636363636,12.04869031906128,173.69406509399414
0,sg-cgan,0,4,3,50,35,0.7,12.04869031906128,173.69406509399414
0,sg-cgan,0,4,4,500,476,0.952,12.04869031906128,173.69406509399414
0,sg-cgan,0,5,1,1200,1121,0.9341666666666667,11.790818452835083,154.96281552314758
0,sg-cgan,0,5,2,1100,603,0.5481818181818182,11.790818452835083,154.96281552314758
0,sg-cgan,0,5,3,50,18,0.36,11.790818452835083,154.96281552314758
0,sg-cgan,0,5,4,500,60,0.12,11.790818452835083,154.96281552314758
0,sg-cgan,0,5,5,200,188,0.94,11.790818452835083,154.96281552314758
0,sg-cwgan,0,1,1,1200,1200,1.0,7.576178312301636,144.82381582260132
0,sg-cwgan,0,2,1,1200,1198,0.9983333333333333,11.837217569351196,256.42639207839966
0,sg-cwgan,0,2,2,1100,1093,0.9936363636363637,11.837217569351196,256.42639207839966
0,sg-cwgan,0,3,1,1200,1100,0.9166666666666666,12.025836706161499,264.6472764015198
0,sg-cwgan,0,3,2,1100,733,0.6663636363636364,12.025836706161499,264.6472764015198
0,sg-cwgan,0,3,3,50,45,0.9,12.025836706161499,264.6472764015198
0,sg-cwgan,0,4,1,1200,1116,0.93,12.409321308135986,263.52828431129456
0,sg-cwgan,0,4,2,1100,561,0.51,12.409321308135986,263.52828431129456
0,sg-cwgan,0,4,3,50,45,0.9,12.409321308135986,263.52828431129456
0,sg-cwgan,0,4,4,500,477,0.954,12.409321308135986,263.52828431129456
0,sg-cwgan,0,5,1,1200,1120,0.9333333333333333,10.874914646148682,289.38502287864685
0,sg-cwgan,0,5,2,1100,1088,0.9890909090909091,10.874914646148682,289.38502287864685
0,sg-cwgan,0,5,3,50,44,0.88,10.874914646148682,289.38502287864685
0,sg-cwgan,0,5,4,500,80,0.16,10.874914646148682,289.38502287864685
0,sg-cwgan,0,5,5,200,189,0.945,10.874914646148682,289.38502287864685
