task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,150,115,0.7666666666666667,None,None
0,offline,0,None,2,150,50,0.3333333333333333,None,None
0,offline,0,None,3,150,148,0.9866666666666667,None,None
0,offline,0,None,4,150,79,0.5266666666666666,None,None
0,offline,0,None,5,150,146,0.9733333333333334,None,None
0,none,0,1,1,150,150,1.0,2.4123451709747314,3.337860107421875e-06
0,none,0,2,1,150,98,0.6533333333333333,2.962993621826172,2.1457672119140625e-06
0,none,0,2,2,150,0,0.0,2.962993621826172,2.1457672119140625e-06
0,none,0,3,1,150,0,0.0,2.9839272499084473,1.9073486328125e-06
0,none,0,3,2,150,0,0.0,2.9839272499084473,1.9073486328125e-06
0,none,0,3,3,150,147,0.98,2.9839272499084473,1.9073486328125e-06
0,none,0,4,1,150,0,0.0,2.922966718673706,2.384185791015625e-06
0,none,0,4,2,150,0,0.0,2.922966718673706,2.384185791015625e-06
0,none,0,4,3,150,27,0.18,2.922966718673706,2.384185791015625e-06
0,none,0,4,4,150,150,1.0,2.922966718673706,2.384185791015625e-06
0,none,0,5,1,150,0,0.0,2.9985618591308594,1.430511474609375e-06
0,none,0,5,2,150,0,0.0,2.9985618591308594,1.430511474609375e-06
0,none,0,5,3,150,0,0.0,2.9985618591308594,1.430511474609375e-06
0,none,0,5,4,150,16,0.10666666666666667,2.9985618591308594,1.430511474609375e-06
0,none,0,5,5,150,146,0.9733333333333334,2.9985618591308594,1.430511474609375e-06
0,exact,0,1,1,150,150,1.0,2.3532907962799072,2.384185791015625e-06
0,exact,0,2,1,150,150,1.0,4.7844507694244385,2.1457672119140625e-06
0,exact,0,2,2,150,0,0.0,4.7844507694244385,2.1457672119140625e-06
0,exact,0,3,1,150,150,1.0,4.916831016540527,4.0531158447265625e-06
0,exact,0,3,2,150,0,0.0,4.916831016540527,4.0531158447265625e-06
0,exact,0,3,3,150,59,0.3933333333333333,4.916831016540527,4.0531158447265625e-06
0,exact,0,4,1,150,150,1.0,4.984083652496338,2.384185791015625e-06
0,exact,0,4,2,150,0,0.0,4.984083652496338,2.384185791015625e-06
0,exact,0,4,3,150,57,0.38,4.984083652496338,2.384185791015625e-06
0,exact,0,4,4,150,0,0.0,4.984083652496338,2.384185791015625e-06
0,exact,0,5,1,150,150,1.0,5.078859567642212,1.9073486328125e-06
0,exact,0,5,2,150,0,0.0,5.078859567642212,1.9073486328125e-06
0,exact,0,5,3,150,53,0.35333333333333333,5.078859567642212,1.9073486328125e-06
0,exact,0,5,4,150,0,0.0,5.078859567642212,1.9073486328125e-06
0,exact,0,5,5,150,0,0.0,5.078859567642212,1.9073486328125e-06
0,mp-gan,0,1,1,150,150,1.0,2.390653133392334,28.6907958984375
0,mp-gan,0,2,1,150,150,1.0,4.746939182281494,28.873271465301514
0,mp-gan,0,2,2,150,0,0.0,4.746939182281494,28.873271465301514
0,mp-gan,0,3,1,150,19,0.12666666666666668,4.733283996582031,28.747581958770752
0,mp-gan,0,3,2,150,0,0.0,4.733283996582031,28.747581958770752
0,mp-gan,0,3,3,150,141,0.94,4.733283996582031,28.747581958770752
0,mp-gan,0,4,1,150,19,0.12666666666666668,4.813440322875977,29.00067973136902
0,mp-gan,0,4,2,150,0,0.0,4.813440322875977,29.00067973136902
0,mp-gan,0,4,3,150,72,0.48,4.813440322875977,29.00067973136902
0,mp-gan,0,4,4,150,131,0.8733333333333333,4.813440322875977,29.00067973136902
0,mp-gan,0,5,1,150,13,0.08666666666666667,5.125238656997681,28.827888011932373
0,mp-gan,0,5,2,150,0,0.0,5.125238656997681,28.827888011932373
0,mp-gan,0,5,3,150,71,0.47333333333333333,5.125238656997681,28.827888011932373
0,mp-gan,0,5,4,150,102,0.68,5.125238656997681,28.827888011932373
0,mp-gan,0,5,5,150,142,0.9466666666666667,5.125238656997681,28.827888011932373
0,mp-wgan,0,1,1,150,150,1.0,2.343416690826416,50.25685787200928
0,mp-wgan,0,2,1,150,108,0.72,4.763606548309326,49.36223125457764
0,mp-wgan,0,2,2,150,0,0.0,4.763606548309326,49.36223125457764
0,mp-wgan,0,3,1,150,0,0.0,4.8007659912109375,49.46683955192566
0,mp-wgan,0,3,2,150,0,0.0,4.8007659912109375,49.46683955192566
0,mp-wgan,0,3,3,150,149,0.9933333333333333,4.8007659912109375,49.46683955192566
0,mp-wgan,0,4,1,150,0,0.0,4.8540661334991455,49.60081911087036
0,mp-wgan,0,4,2,150,0,0.0,4.8540661334991455,49.60081911087036
0,mp-wgan,0,4,3,150,31,0.20666666666666667,4.8540661334991455,49.60081911087036
0,mp-wgan,0,4,4,150,137,0.9133333333333333,4.8540661334991455,49.60081911087036
0,mp-wgan,0,5,1,150,0,0.0,4.9728944301605225,49.199318647384644
0,mp-wgan,0,5,2,150,0,0.0,4.9728944301605225,49.199318647384644
0,mp-wgan,0,5,3,150,0,0.0,4.9728944301605225,49.199318647384644
0,mp-wgan,0,5,4,150,15,0.1,4.9728944301605225,49.199318647384644
0,mp-wgan,0,5,5,150,144,0.96,4.9728944301605225,49.199318647384644
0,sg-cgan,0,1,1,150,150,1.0,2.429213762283325,65.93655204772949
0,sg-cgan,0,2,1,150,150,1.0,5.011795282363892,130.49444270133972
0,sg-cgan,0,2,2,150,0,0.0,5.011795282363892,130.49444270133972
0,sg-cgan,0,3,1,150,34,0.22666666666666666,4.813903093338013,137.89181280136108
0,sg-cgan,0,3,2,150,0,0.0,4.813903093338013,137.89181280136108
0,sg-cgan,0,3,3,150,149,0.9933333333333333,4.813903093338013,137.89181280136108
0,sg-cgan,0,4,1,150,2,0.013333333333333334,4.828133583068848,134.52188086509705
0,sg-cgan,0,4,2,150,0,0.0,4.828133583068848,134.52188086509705
0,sg-cgan,0,4,3,150,135,0.9,4.828133583068848,134.52188086509705
0,sg-cgan,0,4,4,150,134,0.8933333333333333,4.828133583068848,134.52188086509705
0,sg-cgan,0,5,1,150,0,0.0,5.026914596557617,129.2435429096222
0,sg-cgan,0,5,2,150,0,0.0,5.026914596557617,129.2435429096222
0,sg-cgan,0,5,3,150,129,0.86,5.026914596557617,129.2435429096222
0,sg-cgan,0,5,4,150,86,0.5733333333333334,5.026914596557617,129.2435429096222
0,sg-cgan,0,5,5,150,138,0.92,5.026914596557617,129.2435429096222
0,sg-cwgan,0,1,1,150,150,1.0,2.338533639907837,104.95525121688843
