class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,mp-gan,1000,1000,0.681,0.617,3.78747206548409,0.08302857956250435,0.6561021865407693,1000.0,0.0,0.0,1000.0
sitting,mp-gan,480,1000,0.91875,1.0,1.0000897388443422,1.3369817627334036e-05,1.205815613560865,480.0,0.0,0.0,1000.0
standing,mp-gan,480,1000,0.4270833333333333,0.0,1.000001848768149,3.931316813493288e-07,1.2707625770674416,480.0,0.0,0.0,1000.0
lying on back side,mp-gan,480,1000,0.0,0.0,1.0009690152343829,0.00011892104640655557,1.0285892261751595,480.0,0.0,0.0,1000.0
lying on right side,mp-gan,480,1000,0.0,0.0,1.000755082581191,0.00015476725146652243,0.6189967809664294,480.0,0.0,0.0,1000.0
ascending stairs,mp-gan,480,1000,0.76875,0.0,1.0035887280905895,0.0004226595343568052,1.2475511882883192,480.0,0.0,0.0,1000.0
descending stairs,mp-gan,480,1000,0.9979166666666667,1.0,1.0002753056363713,4.4045320335187056e-05,1.1942597284589562,480.0,0.0,0.0,1000.0
exercising on a stepper,mp-gan,480,1000,0.9604166666666667,1.0,1.0007855946124484,7.302852296766552e-05,1.266374483833814,480.0,0.0,0.0,1000.0
rowing,mp-gan,480,1000,0.9916666666666667,1.0,1.0017035481298804,0.0003546428994108365,1.2651837839657043,480.0,0.0,0.0,1000.0
jumping,mp-gan,480,1000,0.9979166666666667,1.0,1.0004722105289097,3.573456013293751e-05,1.259559460707222,480.0,0.0,0.0,1000.0
playing basketball,mp-gan,480,1000,0.8666666666666667,0.0,1.0000025586191204,2.8511513160832124e-07,1.2730932882158255,480.0,0.0,0.0,1000.0
all,mp-wgan,1000,1000,0.695,0.299,3.6850233772299448,0.12108005735945211,0.7957838479147015,1000.0,0.0,0.0,1000.0
sitting,mp-wgan,480,1000,0.91875,0.004,1.0013516489759446,0.00015450695912936938,1.026615943852956,480.0,0.0,0.0,1000.0
standing,mp-wgan,480,1000,0.4270833333333333,0.098,1.0186488527686497,0.002777798568167018,1.2025866108908874,480.0,0.0,0.0,1000.0
lying on back side,mp-wgan,480,1000,0.0,0.0,1.0000901053544022,1.3518958066049495e-05,1.1814148237898328,480.0,0.0,0.0,1000.0
lying on right side,mp-wgan,480,1000,0.0,0.0,1.0055788864748143,0.0007817245566897386,1.0822060233857078,480.0,0.0,0.0,1000.0
ascending stairs,mp-wgan,480,1000,0.76875,0.0,1.000000007319897,1.0309333949096822e-09,0.996604758437569,480.0,0.0,0.0,1000.0
descending stairs,mp-wgan,480,1000,0.9979166666666667,1.0,1.0024955807006162,0.0004439175568043753,1.2783896920630067,480.0,0.0,0.0,1000.0
exercising on a stepper,mp-wgan,480,1000,0.9604166666666667,0.0,1.0000000009975787,2.527191428196487e-10,0.9284779349618706,480.0,0.0,0.0,1000.0
rowing,mp-wgan,480,1000,0.9916666666666667,1.0,1.000077092671878,1.5868874488646526e-05,1.1508333814613134,480.0,0.0,0.0,1000.0
jumping,mp-wgan,480,1000,0.9979166666666667,1.0,1.0182608627549727,0.0025727137807793686,1.236146500732125,480.0,0.0,0.0,1000.0
playing basketball,mp-wgan,480,1000,0.8666666666666667,0.0,1.0034552229319664,0.0004206250378405548,1.2392700290904444,480.0,0.0,0.0,1000.0
all,sg-cgan,1000,1000,0.705,0.597,6.300670995138396,0.2088167181656263,0.34660145051391816,976.0,0.0,24.0,1000.0
sitting,sg-cgan,480,1000,0.91875,0.0,1.0044487600958767,0.001905939989769397,0.8385274107927646,480.0,0.0,0.0,1000.0
standing,sg-cgan,480,1000,0.4270833333333333,0.0,1.0011671985723356,0.0002397928856223916,1.2237943769441417,480.0,0.0,0.0,1000.0
lying on back side,sg-cgan,480,1000,0.0,0.0,1.0041829542904872,0.0007066952989383552,0.8489958904984656,480.0,0.0,0.0,1000.0
lying on right side,sg-cgan,480,1000,0.0,0.0,1.001557216341822,8.613020032753898e-05,0.8368846483080385,480.0,0.0,0.0,1000.0
ascending stairs,sg-cgan,480,1000,0.76875,1.0,1.0002780711465447,4.670170392958909e-05,0.86831989756298,480.0,0.0,0.0,1000.0
descending stairs,sg-cgan,480,1000,0.9979166666666667,1.0,1.000648258356953,0.00028650952386994347,0.8957846576566638,480.0,0.0,0.0,1000.0
exercising on a stepper,sg-cgan,480,1000,0.9604166666666667,1.0,1.0003097712659395,5.023799751138783e-05,1.1539498725760464,480.0,0.0,0.0,1000.0
rowing,sg-cgan,480,1000,0.9916666666666667,1.0,1.0013174948145298,0.0007696097862816056,1.007805166291752,480.0,0.0,0.0,1000.0
jumping,sg-cgan,480,1000,0.9979166666666667,0.805,1.6046867897515391,0.04247720708817478,0.7520159410273393,480.0,0.0,0.0,1000.0
playing basketball,sg-cgan,480,1000,0.8666666666666667,1.0,1.0034250773696776,0.0005060827693770223,0.68286145905489,475.0,0.0,5.0,1000.0
all,sg-cwgan,1000,1000,0.681,0.093,1.108844228266798,0.017120380269683738,0.8948220192702049,1000.0,0.0,0.0,1000.0
sitting,sg-cwgan,480,1000,0.91875,0.0,1.0038956203558347,0.00046448617617306383,1.1663219362664918,480.0,0.0,0.0,1000.0
standing,sg-cwgan,480,1000,0.4270833333333333,0.0,1.001336072200908,0.0001911479121965465,1.2121526712251036,480.0,0.0,0.0,1000.0
lying on back side,sg-cwgan,480,1000,0.0,0.0,1.0010453530272485,0.00012503092985521286,1.2166721531121558,480.0,0.0,0.0,1000.0
lying on right side,sg-cwgan,480,1000,0.0,0.0,1.0010980995710448,0.00011273082791556232,1.1792673032072225,480.0,0.0,0.0,1000.0
ascending stairs,sg-cwgan,480,1000,0.76875,0.0,1.000002795383851,3.598163994015607e-07,1.225023458217302,480.0,0.0,0.0,1000.0
descending stairs,sg-cwgan,480,1000,0.9979166666666667,0.0,1.0189510593805262,0.0019336091713958693,1.2064757812763065,480.0,0.0,0.0,1000.0
exercising on a stepper,sg-cwgan,480,1000,0.9604166666666667,0.0,1.0014581541249818,0.00015224465402853657,1.1599847943032837,480.0,0.0,0.0,1000.0
rowing,sg-cwgan,480,1000,0.9916666666666667,0.0,1.02449503275243,0.003280922777744517,1.1097999618465646,480.0,0.0,0.0,1000.0
jumping,sg-cwgan,480,1000,0.9979166666666667,1.0,1.0014695926439958,0.00014681078775583768,1.1293836593929274,480.0,0.0,0.0,1000.0
playing basketball,sg-cwgan,480,1000,0.8666666666666667,0.0,1.0008483208272376,0.00011763289708474541,1.186824104298555,480.0,0.0,0.0,1000.0
