task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,3,None,1,150,139,0.9266666666666666,None,None
0,offline,3,None,2,150,50,0.3333333333333333,None,None
0,offline,3,None,3,150,148,0.9866666666666667,None,None
0,offline,3,None,4,150,82,0.5466666666666666,None,None
0,offline,3,None,5,150,150,1.0,None,None
0,mp-gan,3,1,1,150,150,1.0,2.066891670227051,126.47336554527283
0,mp-gan,3,2,1,150,95,0.6333333333333333,4.226929187774658,126.15410733222961
0,mp-gan,3,2,2,150,0,0.0,4.226929187774658,126.15410733222961
0,mp-gan,3,3,1,150,0,0.0,4.189772605895996,125.91493034362793
0,mp-gan,3,3,2,150,0,0.0,4.189772605895996,125.91493034362793
0,mp-gan,3,3,3,150,146,0.9733333333333334,4.189772605895996,125.91493034362793
0,mp-gan,3,4,1,150,0,0.0,4.252666473388672,125.36559772491455
0,mp-gan,3,4,2,150,0,0.0,4.252666473388672,125.36559772491455
0,mp-gan,3,4,3,150,149,0.9933333333333333,4.252666473388672,125.36559772491455
0,mp-gan,3,4,4,150,128,0.8533333333333334,4.252666473388672,125.36559772491455
0,mp-gan,3,5,1,150,0,0.0,4.2177252769470215,125.70677995681763
0,mp-gan,3,5,2,150,0,0.0,4.2177252769470215,125.70677995681763
0,mp-gan,3,5,3,150,145,0.9666666666666667,4.2177252769470215,125.70677995681763
0,mp-gan,3,5,4,150,42,0.28,4.2177252769470215,125.70677995681763
0,mp-gan,3,5,5,150,143,0.9533333333333334,4.2177252769470215,125.70677995681763
0,mp-wgan,3,1,1,150,150,1.0,2.0623347759246826,244.0493187904358
0,mp-wgan,3,2,1,150,97,0.6466666666666666,4.311316967010498,240.15866804122925
0,mp-wgan,3,2,2,150,0,0.0,4.311316967010498,240.15866804122925
0,mp-wgan,3,3,1,150,0,0.0,4.287861347198486,226.52440357208252
0,mp-wgan,3,3,2,150,0,0.0,4.287861347198486,226.52440357208252
0,mp-wgan,3,3,3,150,149,0.9933333333333333,4.287861347198486,226.52440357208252
0,mp-wgan,3,4,1,150,0,0.0,4.242825746536255,282.10242891311646
0,mp-wgan,3,4,2,150,0,0.0,4.242825746536255,282.10242891311646
0,mp-wgan,3,4,3,150,60,0.4,4.242825746536255,282.10242891311646
0,mp-wgan,3,4,4,150,150,1.0,4.242825746536255,282.10242891311646
0,mp-wgan,3,5,1,150,0,0.0,4.2666144371032715,224.67992568016052
0,mp-wgan,3,5,2,150,0,0.0,4.2666144371032715,224.67992568016052
0,mp-wgan,3,5,3,150,23,0.15333333333333332,4.2666144371032715,224.67992568016052
0,mp-wgan,3,5,4,150,96,0.64,4.2666144371032715,224.67992568016052
0,mp-wgan,3,5,5,150,145,0.9666666666666667,4.2666144371032715,224.67992568016052
1,offline,3,None,1,150,78,0.52,None,None
1,offline,3,None,2,150,150,1.0,None,None
1,offline,3,None,3,150,143,0.9533333333333334,None,None
1,offline,3,None,4,150,26,0.17333333333333334,None,None
1,offline,3,None,5,150,116,0.7733333333333333,None,None
1,mp-gan,3,1,1,150,150,1.0,2.0649750232696533,125.93885660171509
1,mp-gan,3,2,1,150,150,1.0,4.221499919891357,126.58865427970886
1,mp-gan,3,2,2,150,150,1.0,4.221499919891357,126.58865427970886
1,mp-gan,3,3,1,150,143,0.9533333333333334,4.317357063293457,124.99614906311035
1,mp-gan,3,3,2,150,72,0.48,4.317357063293457,124.99614906311035
1,mp-gan,3,3,3,150,42,0.28,4.317357063293457,124.99614906311035
1,mp-gan,3,4,1,150,137,0.9133333333333333,4.253990650177002,126.32632207870483
1,mp-gan,3,4,2,150,73,0.4866666666666667,4.253990650177002,126.32632207870483
1,mp-gan,3,4,3,150,51,0.34,4.253990650177002,126.32632207870483
1,mp-gan,3,4,4,150,74,0.49333333333333335,4.253990650177002,126.32632207870483
1,mp-gan,3,5,1,150,138,0.92,4.268106460571289,126.47104024887085
1,mp-gan,3,5,2,150,76,0.5066666666666667,4.268106460571289,126.47104024887085
1,mp-gan,3,5,3,150,39,0.26,4.268106460571289,126.47104024887085
1,mp-gan,3,5,4,150,56,0.37333333333333335,4.268106460571289,126.47104024887085
1,mp-gan,3,5,5,150,67,0.44666666666666666,4.268106460571289,126.47104024887085
1,mp-wgan,3,1,1,150,150,1.0,2.069586992263794,228.09643411636353
1,mp-wgan,3,2,1,150,85,0.5666666666666667,4.229224920272827,225.0970697402954
1,mp-wgan,3,2,2,150,150,1.0,4.229224920272827,225.0970697402954
1,mp-wgan,3,3,1,150,57,0.38,4.253310918807983,226.61463403701782
1,mp-wgan,3,3,2,150,62,0.41333333333333333,4.253310918807983,226.61463403701782
1,mp-wgan,3,3,3,150,150,1.0,4.253310918807983,226.61463403701782
1,mp-wgan,3,4,1,150,30,0.2,4.255641460418701,249.55850982666016
1,mp-wgan,3,4,2,150,57,0.38,4.255641460418701,249.55850982666016
1,mp-wgan,3,4,3,150,0,0.0,4.255641460418701,249.55850982666016
1,mp-wgan,3,4,4,150,150,1.0,4.255641460418701,249.55850982666016
1,mp-wgan,3,5,1,150,28,0.18666666666666668,4.261728763580322,225.11323380470276
1,mp-wgan,3,5,2,150,3,0.02,4.261728763580322,225.11323380470276
1,mp-wgan,3,5,3,150,0,0.0,4.261728763580322,225.11323380470276
1,mp-wgan,3,5,4,150,16,0.10666666666666667,4.261728763580322,225.11323380470276
1,mp-wgan,3,5,5,150,148,0.9866666666666667,4.261728763580322,225.11323380470276
2,offline,3,None,1,200,91,0.455,None,None
2,offline,3,None,2,200,200,1.0,None,None
2,offline,3,None,3,150,97,0.6466666666666666,None,None
2,offline,3,None,4,150,72,0.48,None,None
2,offline,3,None,5,150,77,0.5133333333333333,None,None
