task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,150,139,0.9266666666666666,None,None
0,offline,0,None,2,150,50,0.3333333333333333,None,None
0,offline,0,None,3,150,148,0.9866666666666667,None,None
0,offline,0,None,4,150,82,0.5466666666666666,None,None
0,offline,0,None,5,150,150,1.0,None,None
0,none,0,1,1,150,150,1.0,2.1795151233673096,2.1457672119140625e-06
0,none,0,2,1,150,98,0.6533333333333333,2.6535987854003906,1.1920928955078125e-06
0,none,0,2,2,150,0,0.0,2.6535987854003906,1.1920928955078125e-06
0,none,0,3,1,150,0,0.0,2.664595603942871,2.384185791015625e-06
0,none,0,3,2,150,0,0.0,2.664595603942871,2.384185791015625e-06
0,none,0,3,3,150,148,0.9866666666666667,2.664595603942871,2.384185791015625e-06
0,none,0,4,1,150,0,0.0,2.663243532180786,2.384185791015625e-06
0,none,0,4,2,150,0,0.0,2.663243532180786,2.384185791015625e-06
0,none,0,4,3,150,0,0.0,2.663243532180786,2.384185791015625e-06
0,none,0,4,4,150,150,1.0,2.663243532180786,2.384185791015625e-06
0,none,0,5,1,150,0,0.0,2.6299002170562744,1.6689300537109375e-06
0,none,0,5,2,150,0,0.0,2.6299002170562744,1.6689300537109375e-06
0,none,0,5,3,150,0,0.0,2.6299002170562744,1.6689300537109375e-06
0,none,0,5,4,150,16,0.10666666666666667,2.6299002170562744,1.6689300537109375e-06
0,none,0,5,5,150,146,0.9733333333333334,2.6299002170562744,1.6689300537109375e-06
0,exact,0,1,1,150,150,1.0,2.10451078414917,1.430511474609375e-06
0,exact,0,2,1,150,150,1.0,4.375781536102295,1.430511474609375e-06
0,exact,0,2,2,150,0,0.0,4.375781536102295,1.430511474609375e-06
0,exact,0,3,1,150,150,1.0,4.374277114868164,5.4836273193359375e-06
0,exact,0,3,2,150,0,0.0,4.374277114868164,5.4836273193359375e-06
0,exact,0,3,3,150,55,0.36666666666666664,4.374277114868164,5.4836273193359375e-06
0,exact,0,4,1,150,150,1.0,4.359257221221924,2.1457672119140625e-06
0,exact,0,4,2,150,0,0.0,4.359257221221924,2.1457672119140625e-06
0,exact,0,4,3,150,50,0.3333333333333333,4.359257221221924,2.1457672119140625e-06
0,exact,0,4,4,150,0,0.0,4.359257221221924,2.1457672119140625e-06
0,exact,0,5,1,150,150,1.0,4.595325946807861,2.1457672119140625e-06
0,exact,0,5,2,150,0,0.0,4.595325946807861,2.1457672119140625e-06
0,exact,0,5,3,150,54,0.36,4.595325946807861,2.1457672119140625e-06
0,exact,0,5,4,150,0,0.0,4.595325946807861,2.1457672119140625e-06
0,exact,0,5,5,150,0,0.0,4.595325946807861,2.1457672119140625e-06
0,mp-gan,0,1,1,150,150,1.0,2.1054513454437256,25.187299728393555
0,mp-gan,0,2,1,150,145,0.9666666666666667,4.325358629226685,25.19869613647461
0,mp-gan,0,2,2,150,0,0.0,4.325358629226685,25.19869613647461
0,mp-gan,0,3,1,150,19,0.12666666666666668,4.348928689956665,25.211633443832397
0,mp-gan,0,3,2,150,0,0.0,4.348928689956665,25.211633443832397
0,mp-gan,0,3,3,150,131,0.8733333333333333,4.348928689956665,25.211633443832397
0,mp-gan,0,4,1,150,16,0.10666666666666667,4.391071081161499,25.203593492507935
0,mp-gan,0,4,2,150,0,0.0,4.391071081161499,25.203593492507935
0,mp-gan,0,4,3,150,82,0.5466666666666666,4.391071081161499,25.203593492507935
0,mp-gan,0,4,4,150,134,0.8933333333333333,4.391071081161499,25.203593492507935
0,mp-gan,0,5,1,150,18,0.12,4.442056894302368,25.368632078170776
0,mp-gan,0,5,2,150,0,0.0,4.442056894302368,25.368632078170776
0,mp-gan,0,5,3,150,80,0.5333333333333333,4.442056894302368,25.368632078170776
0,mp-gan,0,5,4,150,94,0.6266666666666667,4.442056894302368,25.368632078170776
0,mp-gan,0,5,5,150,142,0.9466666666666667,4.442056894302368,25.368632078170776
0,mp-wgan,0,1,1,150,150,1.0,2.2246482372283936,49.062089681625366
0,mp-wgan,0,2,1,150,129,0.86,4.354051828384399,49.527642011642456
0,mp-wgan,0,2,2,150,0,0.0,4.354051828384399,49.527642011642456
0,mp-wgan,0,3,1,150,0,0.0,4.400320291519165,49.79447627067566
0,mp-wgan,0,3,2,150,0,0.0,4.400320291519165,49.79447627067566
0,mp-wgan,0,3,3,150,149,0.9933333333333333,4.400320291519165,49.79447627067566
0,mp-wgan,0,4,1,150,0,0.0,4.382023811340332,50.37888479232788
0,mp-wgan,0,4,2,150,0,0.0,4.382023811340332,50.37888479232788
0,mp-wgan,0,4,3,150,64,0.4266666666666667,4.382023811340332,50.37888479232788
0,mp-wgan,0,4,4,150,150,1.0,4.382023811340332,50.37888479232788
0,mp-wgan,0,5,1,150,0,0.0,4.383648633956909,49.78369927406311
0,mp-wgan,0,5,2,150,0,0.0,4.383648633956909,49.78369927406311
0,mp-wgan,0,5,3,150,0,0.0,4.383648633956909,49.78369927406311
0,mp-wgan,0,5,4,150,19,0.12666666666666668,4.383648633956909,49.78369927406311
0,mp-wgan,0,5,5,150,139,0.9266666666666666,4.383648633956909,49.78369927406311
0,sg-cgan,0,1,1,150,150,1.0,2.1296021938323975,58.93163323402405
0,sg-cgan,0,2,1,150,150,1.0,4.370637893676758,120.78393936157227
0,sg-cgan,0,2,2,150,0,0.0,4.370637893676758,120.78393936157227
0,sg-cgan,0,3,1,150,17,0.11333333333333333,4.407402515411377,121.89238333702087
0,sg-cgan,0,3,2,150,0,0.0,4.407402515411377,121.89238333702087
0,sg-cgan,0,3,3,150,149,0.9933333333333333,4.407402515411377,121.89238333702087
0,sg-cgan,0,4,1,150,0,0.0,4.37180757522583,121.13346147537231
0,sg-cgan,0,4,2,150,0,0.0,4.37180757522583,121.13346147537231
0,sg-cgan,0,4,3,150,146,0.9733333333333334,4.37180757522583,121.13346147537231
0,sg-cgan,0,4,4,150,149,0.9933333333333333,4.37180757522583,121.13346147537231
0,sg-cgan,0,5,1,150,0,0.0,4.409586191177368,122.18073034286499
0,sg-cgan,0,5,2,150,0,0.0,4.409586191177368,122.18073034286499
0,sg-cgan,0,5,3,150,129,0.86,4.409586191177368,122.18073034286499
0,sg-cgan,0,5,4,150,86,0.5733333333333334,4.409586191177368,122.18073034286499
0,sg-cgan,0,5,5,150,146,0.9733333333333334,4.409586191177368,122.18073034286499
0,sg-cwgan,0,1,1,150,150,1.0,2.113206624984741,85.03827428817749
0,sg-cwgan,0,2,1,150,150,1.0,4.353460788726807,175.4798424243927
0,sg-cwgan,0,2,2,150,0,0.0,4.353460788726807,175.4798424243927
0,sg-cwgan,0,3,1,150,77,0.5133333333333333,4.346567630767822,175.5411524772644
0,sg-cwgan,0,3,2,150,0,0.0,4.346567630767822,175.5411524772644
0,sg-cwgan,0,3,3,150,149,0.9933333333333333,4.346567630767822,175.5411524772644
0,sg-cwgan,0,4,1,150,0,0.0,4.42457389831543,175.65529489517212
0,sg-cwgan,0,4,2,150,0,0.0,4.42457389831543,175.65529489517212
0,sg-cwgan,0,4,3,150,73,0.4866666666666667,4.42457389831543,175.65529489517212
0,sg-cwgan,0,4,4,150,150,1.0,4.42457389831543,175.65529489517212
0,sg-cwgan,0,5,1,150,1,0.006666666666666667,4.319427013397217,180.07627868652344
0,sg-cwgan,0,5,2,150,0,0.0,4.319427013397217,180.07627868652344
0,sg-cwgan,0,5,3,150,17,0.11333333333333333,4.319427013397217,180.07627868652344
0,sg-cwgan,0,5,4,150,99,0.66,4.319427013397217,180.07627868652344
0,sg-cwgan,0,5,5,150,143,0.9533333333333334,4.319427013397217,180.07627868652344
0,lwf,0,1,1,150,150,1.0,2.1285786628723145,1.9073486328125e-06
0,lwf,0,2,1,150,98,0.6533333333333333,2.687589406967163,1.430511474609375e-06
0,lwf,0,2,2,150,0,0.0,2.687589406967163,1.430511474609375e-06
0,lwf,0,3,1,150,0,0.0,2.696486234664917,1.6689300537109375e-06
0,lwf,0,3,2,150,0,0.0,2.696486234664917,1.6689300537109375e-06
0,lwf,0,3,3,150,148,0.9866666666666667,2.696486234664917,1.6689300537109375e-06
0,lwf,0,4,1,150,0,0.0,2.683727741241455,1.6689300537109375e-06
0,lwf,0,4,2,150,0,0.0,2.683727741241455,1.6689300537109375e-06
0,lwf,0,4,3,150,0,0.0,2.683727741241455,1.6689300537109375e-06
0,lwf,0,4,4,150,150,1.0,2.683727741241455,1.6689300537109375e-06
0,lwf,0,5,1,150,0,0.0,2.6626858711242676,1.9073486328125e-06
0,lwf,0,5,2,150,0,0.0,2.6626858711242676,1.9073486328125e-06
0,lwf,0,5,3,150,0,0.0,2.6626858711242676,1.9073486328125e-06
0,lwf,0,5,4,150,16,0.10666666666666667,2.6626858711242676,1.9073486328125e-06
0,lwf,0,5,5,150,146,0.9733333333333334,2.6626858711242676,1.9073486328125e-06
0,ewc,0,1,1,150,150,1.0,3.283453941345215,2.384185791015625e-06
0,ewc,0,2,1,150,0,0.0,3.5047271251678467,1.430511474609375e-06
0,ewc,0,2,2,150,110,0.7333333333333333,3.5047271251678467,1.430511474609375e-06
0,ewc,0,3,1,150,0,0.0,3.5417892932891846,1.6689300537109375e-06
0,ewc,0,3,2,150,0,0.0,3.5417892932891846,1.6689300537109375e-06
0,ewc,0,3,3,150,149,0.9933333333333333,3.5417892932891846,1.6689300537109375e-06
0,ewc,0,4,1,150,0,0.0,3.578817367553711,1.430511474609375e-06
0,ewc,0,4,2,150,0,0.0,3.578817367553711,1.430511474609375e-06
0,ewc,0,4,3,150,0,0.0,3.578817367553711,1.430511474609375e-06
0,ewc,0,4,4,150,150,1.0,3.578817367553711,1.430511474609375e-06
0,ewc,0,5,1,150,0,0.0,3.53961181640625,2.1457672119140625e-06
0,ewc,0,5,2,150,0,0.0,3.53961181640625,2.1457672119140625e-06
0,ewc,0,5,3,150,0,0.0,3.53961181640625,2.1457672119140625e-06
0,ewc,0,5,4,150,0,0.0,3.53961181640625,2.1457672119140625e-06
0,ewc,0,5,5,150,150,1.0,3.53961181640625,2.1457672119140625e-06
0,offline,1,5,1,150,139,0.9266666666666666,3.53961181640625,2.1457672119140625e-06
0,offline,1,5,2,150,50,0.3333333333333333,3.53961181640625,2.1457672119140625e-06
0,offline,1,5,3,150,148,0.9866666666666667,3.53961181640625,2.1457672119140625e-06
0,offline,1,5,4,150,82,0.5466666666666666,3.53961181640625,2.1457672119140625e-06
0,offline,1,5,5,150,150,1.0,3.53961181640625,2.1457672119140625e-06
0,none,1,1,1,150,150,1.0,2.104461431503296,1.9073486328125e-06
0,none,1,2,1,150,98,0.6533333333333333,2.6764185428619385,1.1920928955078125e-06
0,none,1,2,2,150,0,0.0,2.6764185428619385,1.1920928955078125e-06
0,none,1,3,1,150,0,0.0,2.6898961067199707,1.6689300537109375e-06
0,none,1,3,2,150,0,0.0,2.6898961067199707,1.6689300537109375e-06
0,none,1,3,3,150,148,0.9866666666666667,2.6898961067199707,1.6689300537109375e-06
0,none,1,4,1,150,0,0.0,2.673614263534546,1.6689300537109375e-06
0,none,1,4,2,150,0,0.0,2.673614263534546,1.6689300537109375e-06
0,none,1,4,3,150,0,0.0,2.673614263534546,1.6689300537109375e-06
0,none,1,4,4,150,150,1.0,2.673614263534546,1.6689300537109375e-06
