task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,1,1,150,150,1.0,None,None
0,offline,0,2,1,150,124,0.8266666666666667,None,None
0,offline,0,2,2,150,80,0.5333333333333333,None,None
0,offline,0,3,1,150,93,0.62,None,None
0,offline,0,3,2,150,45,0.3,None,None
0,offline,0,3,3,150,141,0.94,None,None
0,offline,0,4,1,150,90,0.6,None,None
0,offline,0,4,2,150,85,0.5666666666666667,None,None
0,offline,0,4,3,150,149,0.9933333333333333,None,None
0,offline,0,4,4,150,69,0.46,None,None
0,offline,0,5,1,150,85,0.5666666666666667,None,None
0,offline,0,5,2,150,21,0.14,None,None
0,offline,0,5,3,150,145,0.9666666666666667,None,None
0,offline,0,5,4,150,139,0.9266666666666666,None,None
0,offline,0,5,5,150,146,0.9733333333333334,None,None
1,offline,0,1,1,150,150,1.0,None,None
1,offline,0,2,1,150,148,0.9866666666666667,None,None
1,offline,0,2,2,150,150,1.0,None,None
1,offline,0,3,1,150,149,0.9933333333333333,None,None
1,offline,0,3,2,150,145,0.9666666666666667,None,None
1,offline,0,3,3,150,47,0.31333333333333335,None,None
1,offline,0,4,1,150,81,0.54,None,None
1,offline,0,4,2,150,150,1.0,None,None
1,offline,0,4,3,150,71,0.47333333333333333,None,None
1,offline,0,4,4,150,147,0.98,None,None
1,offline,0,5,1,150,83,0.5533333333333333,None,None
1,offline,0,5,2,150,145,0.9666666666666667,None,None
1,offline,0,5,3,150,139,0.9266666666666666,None,None
1,offline,0,5,4,150,31,0.20666666666666667,None,None
1,offline,0,5,5,150,127,0.8466666666666667,None,None
2,offline,0,1,1,200,170,0.85,None,None
2,offline,0,2,1,200,153,0.765,None,None
2,offline,0,2,2,200,200,1.0,None,None
2,offline,0,3,1,200,124,0.62,None,None
2,offline,0,3,2,200,192,0.96,None,None
2,offline,0,3,3,150,72,0.48,None,None
2,offline,0,4,1,200,34,0.17,None,None
2,offline,0,4,2,200,198,0.99,None,None
2,offline,0,4,3,150,145,0.9666666666666667,None,None
2,offline,0,4,4,150,64,0.4266666666666667,None,None
2,offline,0,5,1,200,63,0.315,None,None
2,offline,0,5,2,200,200,1.0,None,None
2,offline,0,5,3,150,97,0.6466666666666666,None,None
2,offline,0,5,4,150,126,0.84,None,None
2,offline,0,5,5,150,143,0.9533333333333334,None,None
3,offline,0,1,1,150,150,1.0,None,None
3,offline,0,2,1,150,137,0.9133333333333333,None,None
3,offline,0,2,2,150,114,0.76,None,None
3,offline,0,3,1,150,139,0.9266666666666666,None,None
3,offline,0,3,2,150,96,0.64,None,None
3,offline,0,3,3,150,139,0.9266666666666666,None,None
3,offline,0,4,1,150,143,0.9533333333333334,None,None
3,offline,0,4,2,150,77,0.5133333333333333,None,None
3,offline,0,4,3,150,67,0.44666666666666666,None,None
3,offline,0,4,4,150,69,0.46,None,None
3,offline,0,5,1,150,74,0.49333333333333335,None,None
3,offline,0,5,2,150,140,0.9333333333333333,None,None
3,offline,0,5,3,150,119,0.7933333333333333,None,None
3,offline,0,5,4,150,40,0.26666666666666666,None,None
3,offline,0,5,5,150,78,0.52,None,None
4,offline,0,1,1,150,81,0.54,None,None
4,offline,0,2,1,150,63,0.42,None,None
4,offline,0,2,2,150,138,0.92,None,None
4,offline,0,3,1,150,60,0.4,None,None
4,offline,0,3,2,150,144,0.96,None,None
4,offline,0,3,3,150,147,0.98,None,None
4,offline,0,4,1,150,83,0.5533333333333333,None,None
4,offline,0,4,2,150,107,0.7133333333333334,None,None
4,offline,0,4,3,150,150,1.0,None,None
4,offline,0,4,4,150,139,0.9266666666666666,None,None
4,offline,0,5,1,150,9,0.06,None,None
4,offline,0,5,2,150,124,0.8266666666666667,None,None
4,offline,0,5,3,150,131,0.8733333333333333,None,None
4,offline,0,5,4,150,118,0.7866666666666666,None,None
4,offline,0,5,5,150,126,0.84,None,None
5,offline,0,1,1,150,148,0.9866666666666667,None,None
5,offline,0,2,1,150,116,0.7733333333333333,None,None
5,offline,0,2,2,150,105,0.7,None,None
