task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,150,49,0.32666666666666666,None,None
0,offline,0,None,2,150,65,0.43333333333333335,None,None
0,offline,0,None,3,150,130,0.8666666666666667,None,None
0,offline,0,None,4,150,134,0.8933333333333333,None,None
0,offline,0,None,5,150,149,0.9933333333333333,None,None
0,offline,1,None,1,150,27,0.18,None,None
0,offline,1,None,2,150,80,0.5333333333333333,None,None
0,offline,1,None,3,150,131,0.8733333333333333,None,None
0,offline,1,None,4,150,141,0.94,None,None
0,offline,1,None,5,150,143,0.9533333333333334,None,None
0,offline,2,None,1,150,41,0.2733333333333333,None,None
0,offline,2,None,2,150,79,0.5266666666666666,None,None
0,offline,2,None,3,150,124,0.8266666666666667,None,None
0,offline,2,None,4,150,148,0.9866666666666667,None,None
0,offline,2,None,5,150,143,0.9533333333333334,None,None
0,offline,3,None,1,150,29,0.19333333333333333,None,None
0,offline,3,None,2,150,79,0.5266666666666666,None,None
0,offline,3,None,3,150,95,0.6333333333333333,None,None
0,offline,3,None,4,150,117,0.78,None,None
0,offline,3,None,5,150,133,0.8866666666666667,None,None
0,offline,4,None,1,150,104,0.6933333333333334,None,None
0,offline,4,None,2,150,0,0.0,None,None
0,offline,4,None,3,150,101,0.6733333333333333,None,None
0,offline,4,None,4,150,100,0.6666666666666666,None,None
0,offline,4,None,5,150,126,0.84,None,None
0,offline,5,None,1,150,80,0.5333333333333333,None,None
0,offline,5,None,2,150,15,0.1,None,None
0,offline,5,None,3,150,123,0.82,None,None
0,offline,5,None,4,150,148,0.9866666666666667,None,None
0,offline,5,None,5,150,147,0.98,None,None
0,offline,6,None,1,150,68,0.4533333333333333,None,None
0,offline,6,None,2,150,73,0.4866666666666667,None,None
0,offline,6,None,3,150,141,0.94,None,None
0,offline,6,None,4,150,137,0.9133333333333333,None,None
0,offline,6,None,5,150,150,1.0,None,None
0,offline,7,None,1,150,76,0.5066666666666667,None,None
0,offline,7,None,2,150,75,0.5,None,None
0,offline,7,None,3,150,129,0.86,None,None
0,offline,7,None,4,150,149,0.9933333333333333,None,None
0,offline,7,None,5,150,144,0.96,None,None
