task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,150,112,0.7466666666666667,None,None
0,offline,0,None,2,150,70,0.4666666666666667,None,None
0,offline,0,None,3,150,145,0.9666666666666667,None,None
0,offline,0,None,4,150,77,0.5133333333333333,None,None
0,offline,0,None,5,150,109,0.7266666666666667,None,None
0,offline,1,None,1,150,77,0.5133333333333333,None,None
0,offline,1,None,2,150,75,0.5,None,None
0,offline,1,None,3,150,138,0.92,None,None
0,offline,1,None,4,150,36,0.24,None,None
0,offline,1,None,5,150,125,0.8333333333333334,None,None
0,offline,2,None,1,150,102,0.68,None,None
0,offline,2,None,2,150,68,0.4533333333333333,None,None
0,offline,2,None,3,150,141,0.94,None,None
0,offline,2,None,4,150,65,0.43333333333333335,None,None
0,offline,2,None,5,150,148,0.9866666666666667,None,None
0,offline,3,None,1,150,60,0.4,None,None
0,offline,3,None,2,150,80,0.5333333333333333,None,None
0,offline,3,None,3,150,149,0.9933333333333333,None,None
0,offline,3,None,4,150,71,0.47333333333333333,None,None
0,offline,3,None,5,150,126,0.84,None,None
0,offline,4,None,1,150,82,0.5466666666666666,None,None
0,offline,4,None,2,150,63,0.42,None,None
0,offline,4,None,3,150,97,0.6466666666666666,None,None
0,offline,4,None,4,150,69,0.46,None,None
0,offline,4,None,5,150,133,0.8866666666666667,None,None
0,offline,5,None,1,150,48,0.32,None,None
0,offline,5,None,2,150,77,0.5133333333333333,None,None
0,offline,5,None,3,150,91,0.6066666666666667,None,None
0,offline,5,None,4,150,69,0.46,None,None
0,offline,5,None,5,150,125,0.8333333333333334,None,None
0,offline,6,None,1,150,10,0.06666666666666667,None,None
0,offline,6,None,2,150,83,0.5533333333333333,None,None
0,offline,6,None,3,150,148,0.9866666666666667,None,None
0,offline,6,None,4,150,76,0.5066666666666667,None,None
0,offline,6,None,5,150,140,0.9333333333333333,None,None
0,offline,7,None,1,150,52,0.3466666666666667,None,None
0,offline,7,None,2,150,74,0.49333333333333335,None,None
0,offline,7,None,3,150,147,0.98,None,None
0,offline,7,None,4,150,72,0.48,None,None
0,offline,7,None,5,150,143,0.9533333333333334,None,None
1,offline,0,None,1,150,102,0.68,None,None
1,offline,0,None,2,150,147,0.98,None,None
1,offline,0,None,3,150,74,0.49333333333333335,None,None
1,offline,0,None,4,150,103,0.6866666666666666,None,None
1,offline,0,None,5,150,85,0.5666666666666667,None,None
1,offline,1,None,1,150,145,0.9666666666666667,None,None
1,offline,1,None,2,150,149,0.9933333333333333,None,None
