task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,150,95,0.6333333333333333,None,None
0,offline,0,None,2,150,0,0.0,None,None
0,offline,0,None,3,150,132,0.88,None,None
0,offline,0,None,4,150,146,0.9733333333333334,None,None
0,offline,0,None,5,150,142,0.9466666666666667,None,None
0,mp-gan,0,1,1,150,109,0.7266666666666667,13.666071653366089,40.01377201080322
0,mp-gan,0,2,1,150,53,0.35333333333333333,12.984273672103882,41.93185305595398
0,mp-gan,0,2,2,150,96,0.64,12.984273672103882,41.93185305595398
0,mp-gan,0,3,1,150,34,0.22666666666666666,13.399163961410522,43.274677753448486
0,mp-gan,0,3,2,150,0,0.0,13.399163961410522,43.274677753448486
0,mp-gan,0,3,3,150,140,0.9333333333333333,13.399163961410522,43.274677753448486
0,mp-gan,0,4,1,150,94,0.6266666666666667,14.394185781478882,51.08095073699951
0,mp-gan,0,4,2,150,0,0.0,14.394185781478882,51.08095073699951
0,mp-gan,0,4,3,150,92,0.6133333333333333,14.394185781478882,51.08095073699951
0,mp-gan,0,4,4,150,149,0.9933333333333333,14.394185781478882,51.08095073699951
0,mp-gan,0,5,1,150,76,0.5066666666666667,12.964325904846191,44.21990990638733
0,mp-gan,0,5,2,150,0,0.0,12.964325904846191,44.21990990638733
0,mp-gan,0,5,3,150,34,0.22666666666666666,12.964325904846191,44.21990990638733
0,mp-gan,0,5,4,150,63,0.42,12.964325904846191,44.21990990638733
0,mp-gan,0,5,5,150,143,0.9533333333333334,12.964325904846191,44.21990990638733
0,mp-wgan,0,1,1,150,115,0.7666666666666667,15.910624980926514,72.9065191745758
0,mp-wgan,0,2,1,150,7,0.04666666666666667,14.86424469947815,82.01133513450623
0,mp-wgan,0,2,2,150,108,0.72,14.86424469947815,82.01133513450623
0,mp-wgan,0,3,1,150,0,0.0,15.470625162124634,84.93783450126648
0,mp-wgan,0,3,2,150,0,0.0,15.470625162124634,84.93783450126648
0,mp-wgan,0,3,3,150,147,0.98,15.470625162124634,84.93783450126648
0,mp-wgan,0,4,1,150,0,0.0,15.220292806625366,85.45155906677246
0,mp-wgan,0,4,2,150,0,0.0,15.220292806625366,85.45155906677246
0,mp-wgan,0,4,3,150,29,0.19333333333333333,15.220292806625366,85.45155906677246
0,mp-wgan,0,4,4,150,150,1.0,15.220292806625366,85.45155906677246
0,mp-wgan,0,5,1,150,0,0.0,15.11258053779602,84.31749272346497
0,mp-wgan,0,5,2,150,0,0.0,15.11258053779602,84.31749272346497
0,mp-wgan,0,5,3,150,0,0.0,15.11258053779602,84.31749272346497
0,mp-wgan,0,5,4,150,28,0.18666666666666668,15.11258053779602,84.31749272346497
0,mp-wgan,0,5,5,150,134,0.8933333333333333,15.11258053779602,84.31749272346497
0,sg-cgan,0,1,1,150,110,0.7333333333333333,17.564534902572632,162.79371285438538
0,sg-cgan,0,2,1,150,45,0.3,14.577014446258545,334.868634223938
0,sg-cgan,0,2,2,150,94,0.6266666666666667,14.577014446258545,334.868634223938
0,sg-cgan,0,3,1,150,12,0.08,18.664994478225708,315.4052641391754
0,sg-cgan,0,3,2,150,78,0.52,18.664994478225708,315.4052641391754
0,sg-cgan,0,3,3,150,149,0.9933333333333333,18.664994478225708,315.4052641391754
0,sg-cgan,0,4,1,150,3,0.02,15.12322187423706,330.5841908454895
0,sg-cgan,0,4,2,150,82,0.5466666666666666,15.12322187423706,330.5841908454895
0,sg-cgan,0,4,3,150,103,0.6866666666666666,15.12322187423706,330.5841908454895
0,sg-cgan,0,4,4,150,149,0.9933333333333333,15.12322187423706,330.5841908454895
0,sg-cgan,0,5,1,150,70,0.4666666666666667,17.495294094085693,340.75451016426086
0,sg-cgan,0,5,2,150,21,0.14,17.495294094085693,340.75451016426086
0,sg-cgan,0,5,3,150,97,0.6466666666666666,17.495294094085693,340.75451016426086
0,sg-cgan,0,5,4,150,142,0.9466666666666667,17.495294094085693,340.75451016426086
0,sg-cgan,0,5,5,150,146,0.9733333333333334,17.495294094085693,340.75451016426086
0,sg-cwgan,0,1,1,150,114,0.76,17.729328632354736,225.92275762557983
0,sg-cwgan,0,2,1,150,13,0.08666666666666667,13.611595153808594,478.49919033050537
0,sg-cwgan,0,2,2,150,111,0.74,13.611595153808594,478.49919033050537
0,sg-cwgan,0,3,1,150,0,0.0,11.669792175292969,236.3717405796051
0,sg-cwgan,0,3,2,150,0,0.0,11.669792175292969,236.3717405796051
0,sg-cwgan,0,3,3,150,118,0.7866666666666666,11.669792175292969,236.3717405796051
0,sg-cwgan,0,4,1,150,0,0.0,15.731924295425415,463.75788950920105
0,sg-cwgan,0,4,2,150,0,0.0,15.731924295425415,463.75788950920105
0,sg-cwgan,0,4,3,150,52,0.3466666666666667,15.731924295425415,463.75788950920105
0,sg-cwgan,0,4,4,150,146,0.9733333333333334,15.731924295425415,463.75788950920105
0,sg-cwgan,0,5,1,150,0,0.0,15.961308717727661,492.2804126739502
0,sg-cwgan,0,5,2,150,0,0.0,15.961308717727661,492.2804126739502
0,sg-cwgan,0,5,3,150,20,0.13333333333333333,15.961308717727661,492.2804126739502
0,sg-cwgan,0,5,4,150,49,0.32666666666666666,15.961308717727661,492.2804126739502
0,sg-cwgan,0,5,5,150,136,0.9066666666666666,15.961308717727661,492.2804126739502
