task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,24,19,0.7916666666666666,None,None
0,offline,0,None,2,38,32,0.8421052631578947,None,None
0,offline,0,None,3,35,34,0.9714285714285714,None,None
0,sg-cgan,0,1,1,24,24,1.0,5.388593435287476,130.07429146766663
0,sg-cgan,0,2,1,24,14,0.5833333333333334,9.183448314666748,268.2489290237427
0,sg-cgan,0,2,2,38,38,1.0,9.183448314666748,268.2489290237427
0,sg-cgan,0,3,1,24,14,0.5833333333333334,9.747941255569458,287.38876461982727
0,sg-cgan,0,3,2,38,31,0.8157894736842105,9.747941255569458,287.38876461982727
0,sg-cgan,0,3,3,35,35,1.0,9.747941255569458,287.38876461982727
0,offline,1,3,1,24,19,0.7916666666666666,9.747941255569458,287.38876461982727
0,offline,1,3,2,38,32,0.8421052631578947,9.747941255569458,287.38876461982727
0,offline,1,3,3,35,34,0.9714285714285714,9.747941255569458,287.38876461982727
0,sg-cgan,1,1,1,24,24,1.0,7.058130741119385,148.3025643825531
0,sg-cgan,1,2,1,24,14,0.5833333333333334,9.852662801742554,292.39937114715576
0,sg-cgan,1,2,2,38,38,1.0,9.852662801742554,292.39937114715576
0,sg-cgan,1,3,1,24,14,0.5833333333333334,10.314563035964966,288.4010593891144
0,sg-cgan,1,3,2,38,31,0.8157894736842105,10.314563035964966,288.4010593891144
0,sg-cgan,1,3,3,35,35,1.0,10.314563035964966,288.4010593891144
0,offline,2,3,1,24,19,0.7916666666666666,10.314563035964966,288.4010593891144
0,offline,2,3,2,38,32,0.8421052631578947,10.314563035964966,288.4010593891144
0,offline,2,3,3,35,34,0.9714285714285714,10.314563035964966,288.4010593891144
0,sg-cgan,2,1,1,24,24,1.0,10.49293565750122,228.8167507648468
0,sg-cgan,2,2,1,24,17,0.7083333333333334,15.386505603790283,397.71614050865173
0,sg-cgan,2,2,2,38,38,1.0,15.386505603790283,397.71614050865173
0,sg-cgan,2,3,1,24,17,0.7083333333333334,10.617601871490479,349.97788310050964
0,sg-cgan,2,3,2,38,31,0.8157894736842105,10.617601871490479,349.97788310050964
0,sg-cgan,2,3,3,35,35,1.0,10.617601871490479,349.97788310050964
0,offline,3,3,1,24,19,0.7916666666666666,10.154853582382202,289.951913356781
0,offline,3,3,2,38,32,0.8421052631578947,10.154853582382202,289.951913356781
0,offline,3,3,3,35,34,0.9714285714285714,10.154853582382202,289.951913356781
0,sg-cgan,3,1,1,24,24,1.0,7.417172908782959,149.04269528388977
0,sg-cgan,3,2,1,24,17,0.7083333333333334,10.717349529266357,290.8976638317108
0,sg-cgan,3,2,2,38,38,1.0,10.717349529266357,290.8976638317108
0,sg-cgan,3,3,1,24,17,0.7083333333333334,9.708048343658447,289.328631401062
0,sg-cgan,3,3,2,38,31,0.8157894736842105,9.708048343658447,289.328631401062
0,sg-cgan,3,3,3,35,35,1.0,9.708048343658447,289.328631401062
0,offline,4,3,1,24,19,0.7916666666666666,9.708048343658447,289.328631401062
0,offline,4,3,2,38,32,0.8421052631578947,9.708048343658447,289.328631401062
0,offline,4,3,3,35,34,0.9714285714285714,9.708048343658447,289.328631401062
0,sg-cgan,4,1,1,24,24,1.0,7.09004545211792,148.7982382774353
0,sg-cgan,4,2,1,24,14,0.5833333333333334,11.355645179748535,289.9229898452759
0,sg-cgan,4,2,2,38,38,1.0,11.355645179748535,289.9229898452759
0,sg-cgan,4,3,1,24,14,0.5833333333333334,10.158843278884888,289.917599439621
0,sg-cgan,4,3,2,38,37,0.9736842105263158,10.158843278884888,289.917599439621
0,sg-cgan,4,3,3,35,19,0.5428571428571428,10.158843278884888,289.917599439621
0,offline,5,3,1,24,19,0.7916666666666666,10.158843278884888,289.917599439621
0,offline,5,3,2,38,32,0.8421052631578947,10.158843278884888,289.917599439621
0,offline,5,3,3,35,34,0.9714285714285714,10.158843278884888,289.917599439621
0,sg-cgan,5,1,1,24,24,1.0,7.045166730880737,150.94150948524475
0,sg-cgan,5,2,1,24,13,0.5416666666666666,9.167482852935791,295.3215594291687
0,sg-cgan,5,2,2,38,38,1.0,9.167482852935791,295.3215594291687
0,sg-cgan,5,3,1,24,16,0.6666666666666666,9.374940156936646,293.49145126342773
0,sg-cgan,5,3,2,38,18,0.47368421052631576,9.374940156936646,293.49145126342773
0,sg-cgan,5,3,3,35,35,1.0,9.374940156936646,293.49145126342773
0,offline,6,3,1,24,21,0.875,10.617601871490479,349.97788310050964
0,offline,6,3,2,38,31,0.8157894736842105,10.617601871490479,349.97788310050964
0,offline,6,3,3,35,34,0.9714285714285714,10.617601871490479,349.97788310050964
0,sg-cgan,6,1,1,24,24,1.0,9.094733476638794,180.0515947341919
0,sg-cgan,6,2,1,24,17,0.7083333333333334,13.175291776657104,359.8452537059784
0,sg-cgan,6,2,2,38,37,0.9736842105263158,13.175291776657104,359.8452537059784
0,sg-cgan,6,3,1,24,17,0.7083333333333334,11.392215728759766,353.16964650154114
0,sg-cgan,6,3,2,38,37,0.9736842105263158,11.392215728759766,353.16964650154114
0,sg-cgan,6,3,3,35,19,0.5428571428571428,11.392215728759766,353.16964650154114
1,offline,0,None,1,33,32,0.9696969696969697,None,None
1,offline,0,None,2,26,24,0.9230769230769231,None,None
1,offline,0,None,3,38,32,0.8421052631578947,None,None
1,sg-cgan,0,1,1,33,33,1.0,7.3992204666137695,150.92256021499634
1,sg-cgan,0,2,1,33,33,1.0,9.488632917404175,293.1922516822815
1,sg-cgan,0,2,2,26,26,1.0,9.488632917404175,293.1922516822815
1,sg-cgan,0,3,1,33,32,0.9696969696969697,9.205389738082886,289.2593677043915
1,sg-cgan,0,3,2,26,15,0.5769230769230769,9.205389738082886,289.2593677043915
1,sg-cgan,0,3,3,38,31,0.8157894736842105,9.205389738082886,289.2593677043915
1,offline,1,3,1,33,32,0.9696969696969697,9.205389738082886,289.2593677043915
1,offline,1,3,2,26,24,0.9230769230769231,9.205389738082886,289.2593677043915
1,offline,1,3,3,38,32,0.8421052631578947,9.205389738082886,289.2593677043915
1,sg-cgan,1,1,1,33,33,1.0,7.371294736862183,150.32515788078308
1,sg-cgan,1,2,1,33,33,1.0,9.593355178833008,297.3112404346466
1,sg-cgan,1,2,2,26,26,1.0,9.593355178833008,297.3112404346466
1,sg-cgan,1,3,1,33,32,0.9696969696969697,9.219347953796387,289.50123739242554
1,sg-cgan,1,3,2,26,15,0.5769230769230769,9.219347953796387,289.50123739242554
1,sg-cgan,1,3,3,38,31,0.8157894736842105,9.219347953796387,289.50123739242554
1,offline,2,3,1,33,32,0.9696969696969697,9.219347953796387,289.50123739242554
1,offline,2,3,2,26,24,0.9230769230769231,9.219347953796387,289.50123739242554
1,offline,2,3,3,38,32,0.8421052631578947,9.219347953796387,289.50123739242554
1,sg-cgan,2,1,1,33,33,1.0,8.788059949874878,186.38312554359436
1,sg-cgan,2,2,1,33,33,1.0,11.595985412597656,357.0810179710388
1,sg-cgan,2,2,2,26,26,1.0,11.595985412597656,357.0810179710388
1,sg-cgan,2,3,1,33,32,0.9696969696969697,12.103626012802124,362.9863049983978
1,sg-cgan,2,3,2,26,15,0.5769230769230769,12.103626012802124,362.9863049983978
1,sg-cgan,2,3,3,38,32,0.8421052631578947,12.103626012802124,362.9863049983978
1,offline,3,3,1,33,32,0.9696969696969697,9.30911636352539,288.2654209136963
1,offline,3,3,2,26,24,0.9230769230769231,9.30911636352539,288.2654209136963
1,offline,3,3,3,38,32,0.8421052631578947,9.30911636352539,288.2654209136963
1,sg-cgan,3,1,1,33,33,1.0,7.803141355514526,149.8215036392212
1,sg-cgan,3,2,1,33,33,1.0,10.543814659118652,290.44958233833313
1,sg-cgan,3,2,2,26,26,1.0,10.543814659118652,290.44958233833313
1,sg-cgan,3,3,1,33,32,0.9696969696969697,9.78484296798706,290.0905430316925
1,sg-cgan,3,3,2,26,15,0.5769230769230769,9.78484296798706,290.0905430316925
1,sg-cgan,3,3,3,38,32,0.8421052631578947,9.78484296798706,290.0905430316925
1,offline,4,3,1,33,32,0.9696969696969697,9.78484296798706,290.0905430316925
1,offline,4,3,2,26,24,0.9230769230769231,9.78484296798706,290.0905430316925
1,offline,4,3,3,38,32,0.8421052631578947,9.78484296798706,290.0905430316925
1,sg-cgan,4,1,1,33,33,1.0,7.343369245529175,150.34311056137085
1,sg-cgan,4,2,1,33,33,1.0,10.593681335449219,294.06691312789917
1,sg-cgan,4,2,2,26,26,1.0,10.593681335449219,294.06691312789917
1,sg-cgan,4,3,1,33,32,0.9696969696969697,10.207711458206177,289.70121574401855
1,sg-cgan,4,3,2,26,18,0.6923076923076923,10.207711458206177,289.70121574401855
1,sg-cgan,4,3,3,38,31,0.8157894736842105,10.207711458206177,289.70121574401855
1,offline,5,3,1,33,32,0.9696969696969697,10.207711458206177,289.70121574401855
1,offline,5,3,2,26,24,0.9230769230769231,10.207711458206177,289.70121574401855
1,offline,5,3,3,38,32,0.8421052631578947,10.207711458206177,289.70121574401855
1,sg-cgan,5,1,1,33,33,1.0,7.350350618362427,151.62268924713135
1,sg-cgan,5,2,1,33,33,1.0,9.531520128250122,293.9183111190796
1,sg-cgan,5,2,2,26,26,1.0,9.531520128250122,293.9183111190796
1,sg-cgan,5,3,1,33,32,0.9696969696969697,9.230324268341064,291.6882724761963
1,sg-cgan,5,3,2,26,17,0.6538461538461539,9.230324268341064,291.6882724761963
1,sg-cgan,5,3,3,38,33,0.868421052631579,9.230324268341064,291.6882724761963
1,offline,6,3,1,33,32,0.9696969696969697,12.103626012802124,362.9863049983978
1,offline,6,3,2,26,23,0.8846153846153846,12.103626012802124,362.9863049983978
