task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,24,21,0.875,None,None
0,offline,0,None,2,38,31,0.8157894736842105,None,None
0,offline,0,None,3,35,34,0.9714285714285714,None,None
0,none,0,1,1,24,24,1.0,5.622962474822998,0.0
0,none,0,2,1,24,0,0.0,6.081737041473389,0.0
0,none,0,2,2,38,38,1.0,6.081737041473389,0.0
0,none,0,3,1,24,0,0.0,6.392904758453369,0.0
0,none,0,3,2,38,31,0.8157894736842105,6.392904758453369,0.0
0,none,0,3,3,35,20,0.5714285714285714,6.392904758453369,0.0
0,exact,0,1,1,24,24,1.0,6.267242193222046,0.0
0,exact,0,2,1,24,24,1.0,9.317084789276123,0.0
0,exact,0,2,2,38,20,0.5263157894736842,9.317084789276123,0.0
0,exact,0,3,1,24,24,1.0,8.695746660232544,0.0
0,exact,0,3,2,38,20,0.5263157894736842,8.695746660232544,0.0
0,exact,0,3,3,35,34,0.9714285714285714,8.695746660232544,0.0
0,mp-gan,0,1,1,24,24,1.0,6.207400560379028,20.24386763572693
0,mp-gan,0,2,1,24,17,0.7083333333333334,8.73065447807312,20.092273235321045
0,mp-gan,0,2,2,38,37,0.9736842105263158,8.73065447807312,20.092273235321045
0,mp-gan,0,3,1,24,17,0.7083333333333334,9.112628698348999,20.746524572372437
0,mp-gan,0,3,2,38,35,0.9210526315789473,9.112628698348999,20.746524572372437
0,mp-gan,0,3,3,35,20,0.5714285714285714,9.112628698348999,20.746524572372437
0,mp-wgan,0,1,1,24,24,1.0,6.549484968185425,42.22907900810242
0,mp-wgan,0,2,1,24,17,0.7083333333333334,11.08868956565857,56.01116228103638
0,mp-wgan,0,2,2,38,37,0.9736842105263158,11.08868956565857,56.01116228103638
0,mp-wgan,0,3,1,24,17,0.7083333333333334,10.376249313354492,44.09009909629822
0,mp-wgan,0,3,2,38,35,0.9210526315789473,10.376249313354492,44.09009909629822
0,mp-wgan,0,3,3,35,19,0.5428571428571428,10.376249313354492,44.09009909629822
0,sg-cgan,0,1,1,24,24,1.0,6.857662916183472,86.34416007995605
