class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,mp-gan,483,1000,0.8674948240165632,1.0,3.671032070742244,0.0990754928781831,0.17144444028884995,429.0,44.0,54.0,956.0
A0,mp-gan,72,1000,0.9166666666666666,1.0,1.0000000000283475,3.5963969554130665e-12,0.09384912971983236,66.0,0.0,6.0,1000.0
A1,mp-gan,165,1000,0.9030303030303031,1.0,1.0002152199567187,4.148564028967023e-05,0.593107679172444,150.0,0.0,15.0,1000.0
A2,mp-gan,50,1000,0.98,1.0,1.0000231351226874,2.96032023544159e-06,0.054122182724293345,49.0,2.0,1.0,998.0
A3,mp-gan,78,1000,0.9358974358974359,1.0,1.0000000251766508,4.052389710944004e-09,0.07498098768217144,73.0,2.0,5.0,998.0
A4,mp-gan,42,1000,0.7857142857142857,1.0,1.0058767763214314,0.0004318239459582558,0.43452916325545105,32.0,0.0,10.0,1000.0
A5,mp-gan,76,1000,0.6447368421052632,1.0,1.0059160348832092,0.0008451525484636228,0.6883906750505718,72.0,1.0,4.0,999.0
all,mp-wgan,483,1000,0.8674948240165632,0.83,3.0165917766607264,0.20116538921576763,0.1581824018304196,442.0,9.0,41.0,991.0
A0,mp-wgan,72,1000,0.9166666666666666,1.0,1.0000000002081735,3.0800501027763953e-11,0.10083451157399055,66.0,2.0,6.0,998.0
A1,mp-wgan,165,1000,0.9030303030303031,1.0,1.0000828090301983,8.272011573620476e-06,0.4433970162297722,158.0,0.0,7.0,1000.0
A2,mp-wgan,50,1000,0.98,1.0,1.000649948932871,0.0001266082077606376,1.0386150802228575,49.0,1.0,1.0,999.0
A3,mp-wgan,78,1000,0.9358974358974359,1.0,1.0000001178111966,1.8335327114335753e-08,0.39835611147908145,74.0,0.0,4.0,1000.0
A4,mp-wgan,42,1000,0.7857142857142857,1.0,1.0020339704388799,0.00039302265367037627,0.5008100861386828,35.0,0.0,7.0,1000.0
A5,mp-wgan,76,1000,0.6447368421052632,0.0,1.00134457841704,0.0003159772767624908,0.36939969130349803,70.0,0.0,6.0,1000.0
all,sg-cgan,483,1000,0.8674948240165632,0.833,4.350145040093939,0.15909649480025895,0.18025086035238744,436.0,17.0,47.0,983.0
A0,sg-cgan,72,1000,0.9166666666666666,1.0,1.0000000000134106,2.4411558326477606e-12,0.1030950098067705,66.0,2.0,6.0,998.0
A1,sg-cgan,165,1000,0.9030303030303031,1.0,1.0003973463255236,0.0001534164894298593,0.329496333667693,156.0,0.0,9.0,1000.0
A2,sg-cgan,50,1000,0.98,1.0,1.0000514006819103,9.664146988523703e-06,0.6935715041918907,49.0,0.0,1.0,1000.0
A3,sg-cgan,78,1000,0.9358974358974359,1.0,1.0000000032609637,3.802659128932976e-10,0.14596914597663588,73.0,0.0,5.0,1000.0
A4,sg-cgan,42,1000,0.7857142857142857,0.0,1.0011427173710774,0.00026335730026372397,0.8139110929594409,42.0,0.0,0.0,1000.0
A5,sg-cgan,76,1000,0.6447368421052632,1.0,1.0000097714496026,1.3105726900493774e-06,0.606273485495686,73.0,8.0,3.0,992.0
all,sg-cwgan,483,1000,0.8674948240165632,1.0,4.097612508453272,0.1406419398677303,0.22237123685400606,456.0,0.0,27.0,1000.0
A0,sg-cwgan,72,1000,0.9166666666666666,1.0,1.0000000006842211,5.962267819586554e-10,0.4025167445141355,66.0,0.0,6.0,1000.0
A1,sg-cwgan,165,1000,0.9030303030303031,1.0,1.0000006575783043,1.1532296979375284e-07,0.7638725934072647,163.0,0.0,2.0,1000.0
A2,sg-cwgan,50,1000,0.98,1.0,1.0001727881458478,2.269312390539184e-05,1.3538234080016125,49.0,0.0,1.0,1000.0
A3,sg-cwgan,78,1000,0.9358974358974359,1.0,1.000000095447928,2.2136811239490007e-08,0.48952490545861915,73.0,0.0,5.0,1000.0
A4,sg-cwgan,42,1000,0.7857142857142857,1.0,1.0003109816062896,3.929923818745911e-05,0.6954148463672412,35.0,0.0,7.0,1000.0
A5,sg-cwgan,76,1000,0.6447368421052632,1.0,1.0000013625951345,3.960720153426569e-07,0.6992238646591916,72.0,0.0,4.0,1000.0
