task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,1,1,24,24,1.0,None,None
0,offline,0,2,1,24,20,0.8333333333333334,None,None
0,offline,0,2,2,38,34,0.8947368421052632,None,None
0,offline,0,3,1,24,20,0.8333333333333334,None,None
0,offline,0,3,2,38,31,0.8157894736842105,None,None
0,offline,0,3,3,35,34,0.9714285714285714,None,None
1,offline,0,1,1,33,33,1.0,None,None
1,offline,0,2,1,33,33,1.0,None,None
1,offline,0,2,2,26,26,1.0,None,None
1,offline,0,3,1,33,32,0.9696969696969697,None,None
1,offline,0,3,2,26,21,0.8076923076923077,None,None
1,offline,0,3,3,38,31,0.8157894736842105,None,None
2,offline,0,1,1,31,31,1.0,None,None
2,offline,0,2,1,31,30,0.967741935483871,None,None
2,offline,0,2,2,40,35,0.875,None,None
2,offline,0,3,1,31,27,0.8709677419354839,None,None
2,offline,0,3,2,40,35,0.875,None,None
2,offline,0,3,3,26,24,0.9230769230769231,None,None
3,offline,0,1,1,28,28,1.0,None,None
3,offline,0,2,1,28,28,1.0,None,None
3,offline,0,2,2,31,31,1.0,None,None
3,offline,0,3,1,28,28,1.0,None,None
3,offline,0,3,2,31,27,0.8709677419354839,None,None
3,offline,0,3,3,38,29,0.7631578947368421,None,None
4,offline,0,1,1,31,31,1.0,None,None
4,offline,0,2,1,31,28,0.9032258064516129,None,None
4,offline,0,2,2,26,23,0.8846153846153846,None,None
4,offline,0,3,1,31,28,0.9032258064516129,None,None
4,offline,0,3,2,26,23,0.8846153846153846,None,None
4,offline,0,3,3,40,35,0.875,None,None
5,offline,0,1,1,26,26,1.0,None,None
5,offline,0,2,1,26,26,1.0,None,None
5,offline,0,2,2,33,33,1.0,None,None
5,offline,0,3,1,26,23,0.8846153846153846,None,None
5,offline,0,3,2,33,32,0.9696969696969697,None,None
5,offline,0,3,3,38,30,0.7894736842105263,None,None
6,offline,0,1,1,35,35,1.0,None,None
6,offline,0,2,1,35,35,1.0,None,None
6,offline,0,2,2,22,17,0.7727272727272727,None,None
6,offline,0,3,1,35,34,0.9714285714285714,None,None
6,offline,0,3,2,22,16,0.7272727272727273,None,None
6,offline,0,3,3,40,35,0.875,None,None
7,offline,0,1,1,42,38,0.9047619047619048,None,None
7,offline,0,2,1,42,37,0.8809523809523809,None,None
7,offline,0,2,2,31,30,0.967741935483871,None,None
7,offline,0,3,1,42,37,0.8809523809523809,None,None
7,offline,0,3,2,31,27,0.8709677419354839,None,None
7,offline,0,3,3,24,21,0.875,None,None
8,offline,0,1,1,28,28,1.0,None,None
8,offline,0,2,1,28,28,1.0,None,None
8,offline,0,2,2,38,33,0.868421052631579,None,None
8,offline,0,3,1,28,28,1.0,None,None
8,offline,0,3,2,38,29,0.7631578947368421,None,None
8,offline,0,3,3,31,27,0.8709677419354839,None,None
9,offline,0,1,1,24,24,1.0,None,None
9,offline,0,2,1,24,22,0.9166666666666666,None,None
9,offline,0,2,2,26,23,0.8846153846153846,None,None
9,offline,0,3,1,24,18,0.75,None,None
9,offline,0,3,2,26,24,0.9230769230769231,None,None
9,offline,0,3,3,47,41,0.8723404255319149,None,None
