task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,24,0,0.0,None,None
0,offline,0,None,2,38,22,0.5789473684210527,None,None
0,offline,0,None,3,35,15,0.42857142857142855,None,None
0,offline,1,None,1,24,13,0.5416666666666666,None,None
0,offline,1,None,2,38,32,0.8421052631578947,None,None
0,offline,1,None,3,35,35,1.0,None,None
0,offline,2,None,1,24,20,0.8333333333333334,None,None
0,offline,2,None,2,38,31,0.8157894736842105,None,None
0,offline,2,None,3,35,34,0.9714285714285714,None,None
0,offline,3,None,1,24,20,0.8333333333333334,None,None
0,offline,3,None,2,38,30,0.7894736842105263,None,None
0,offline,3,None,3,35,34,0.9714285714285714,None,None
0,offline,4,None,1,24,19,0.7916666666666666,None,None
0,offline,4,None,2,38,30,0.7894736842105263,None,None
0,offline,4,None,3,35,34,0.9714285714285714,None,None
0,offline,5,None,1,24,21,0.875,None,None
0,offline,5,None,2,38,27,0.7105263157894737,None,None
0,offline,5,None,3,35,34,0.9714285714285714,None,None
0,offline,6,None,1,24,21,0.875,None,None
0,offline,6,None,2,38,28,0.7368421052631579,None,None
0,offline,6,None,3,35,34,0.9714285714285714,None,None
0,offline,7,None,1,24,21,0.875,None,None
0,offline,7,None,2,38,29,0.7631578947368421,None,None
0,offline,7,None,3,35,34,0.9714285714285714,None,None
1,offline,0,None,1,33,13,0.3939393939393939,None,None
1,offline,0,None,2,26,0,0.0,None,None
1,offline,0,None,3,38,31,0.8157894736842105,None,None
1,offline,1,None,1,33,19,0.5757575757575758,None,None
1,offline,1,None,2,26,25,0.9615384615384616,None,None
1,offline,1,None,3,38,22,0.5789473684210527,None,None
1,offline,2,None,1,33,32,0.9696969696969697,None,None
1,offline,2,None,2,26,25,0.9615384615384616,None,None
1,offline,2,None,3,38,27,0.7105263157894737,None,None
1,offline,3,None,1,33,32,0.9696969696969697,None,None
1,offline,3,None,2,26,24,0.9230769230769231,None,None
1,offline,3,None,3,38,28,0.7368421052631579,None,None
1,offline,4,None,1,33,32,0.9696969696969697,None,None
1,offline,4,None,2,26,19,0.7307692307692307,None,None
1,offline,4,None,3,38,30,0.7894736842105263,None,None
1,offline,5,None,1,33,33,1.0,None,None
1,offline,5,None,2,26,20,0.7692307692307693,None,None
1,offline,5,None,3,38,29,0.7631578947368421,None,None
1,offline,6,None,1,33,32,0.9696969696969697,None,None
1,offline,6,None,2,26,21,0.8076923076923077,None,None
1,offline,6,None,3,38,30,0.7894736842105263,None,None
1,offline,7,None,1,33,32,0.9696969696969697,None,None
1,offline,7,None,2,26,25,0.9615384615384616,None,None
1,offline,7,None,3,38,28,0.7368421052631579,None,None
2,offline,0,None,1,31,0,0.0,None,None
2,offline,0,None,2,40,23,0.575,None,None
2,offline,0,None,3,26,17,0.6538461538461539,None,None
2,offline,1,None,1,31,20,0.6451612903225806,None,None
2,offline,1,None,2,40,13,0.325,None,None
2,offline,1,None,3,26,25,0.9615384615384616,None,None
2,offline,2,None,1,31,28,0.9032258064516129,None,None
2,offline,2,None,2,40,35,0.875,None,None
2,offline,2,None,3,26,22,0.8461538461538461,None,None
2,offline,3,None,1,31,23,0.7419354838709677,None,None
2,offline,3,None,2,40,35,0.875,None,None
2,offline,3,None,3,26,25,0.9615384615384616,None,None
2,offline,4,None,1,31,24,0.7741935483870968,None,None
2,offline,4,None,2,40,35,0.875,None,None
2,offline,4,None,3,26,25,0.9615384615384616,None,None
2,offline,5,None,1,31,24,0.7741935483870968,None,None
2,offline,5,None,2,40,35,0.875,None,None
2,offline,5,None,3,26,25,0.9615384615384616,None,None
2,offline,6,None,1,31,25,0.8064516129032258,None,None
2,offline,6,None,2,40,35,0.875,None,None
2,offline,6,None,3,26,24,0.9230769230769231,None,None
2,offline,7,None,1,31,27,0.8709677419354839,None,None
2,offline,7,None,2,40,35,0.875,None,None
2,offline,7,None,3,26,23,0.8846153846153846,None,None
3,offline,0,None,1,28,15,0.5357142857142857,None,None
3,offline,0,None,2,31,0,0.0,None,None
3,offline,0,None,3,38,11,0.2894736842105263,None,None
3,offline,1,None,1,28,13,0.4642857142857143,None,None
3,offline,1,None,2,31,30,0.967741935483871,None,None
3,offline,1,None,3,38,22,0.5789473684210527,None,None
3,offline,2,None,1,28,28,1.0,None,None
3,offline,2,None,2,31,27,0.8709677419354839,None,None
3,offline,2,None,3,38,28,0.7368421052631579,None,None
3,offline,3,None,1,28,28,1.0,None,None
3,offline,3,None,2,31,24,0.7741935483870968,None,None
3,offline,3,None,3,38,30,0.7894736842105263,None,None
3,offline,4,None,1,28,28,1.0,None,None
3,offline,4,None,2,31,24,0.7741935483870968,None,None
3,offline,4,None,3,38,30,0.7894736842105263,None,None
3,offline,5,None,1,28,28,1.0,None,None
3,offline,5,None,2,31,29,0.9354838709677419,None,None
3,offline,5,None,3,38,28,0.7368421052631579,None,None
3,offline,6,None,1,28,28,1.0,None,None
3,offline,6,None,2,31,24,0.7741935483870968,None,None
3,offline,6,None,3,38,30,0.7894736842105263,None,None
3,offline,7,None,1,28,28,1.0,None,None
3,offline,7,None,2,31,28,0.9032258064516129,None,None
3,offline,7,None,3,38,30,0.7894736842105263,None,None
4,offline,0,None,1,31,0,0.0,None,None
4,offline,0,None,2,26,11,0.4230769230769231,None,None
4,offline,0,None,3,40,13,0.325,None,None
4,offline,1,None,1,31,0,0.0,None,None
4,offline,1,None,2,26,26,1.0,None,None
4,offline,1,None,3,40,35,0.875,None,None
4,offline,2,None,1,31,20,0.6451612903225806,None,None
4,offline,2,None,2,26,24,0.9230769230769231,None,None
4,offline,2,None,3,40,34,0.85,None,None
4,offline,3,None,1,31,23,0.7419354838709677,None,None
4,offline,3,None,2,26,24,0.9230769230769231,None,None
4,offline,3,None,3,40,35,0.875,None,None
4,offline,4,None,1,31,27,0.8709677419354839,None,None
4,offline,4,None,2,26,23,0.8846153846153846,None,None
4,offline,4,None,3,40,34,0.85,None,None
4,offline,5,None,1,31,27,0.8709677419354839,None,None
4,offline,5,None,2,26,21,0.8076923076923077,None,None
4,offline,5,None,3,40,35,0.875,None,None
4,offline,6,None,1,31,24,0.7741935483870968,None,None
4,offline,6,None,2,26,23,0.8846153846153846,None,None
4,offline,6,None,3,40,35,0.875,None,None
4,offline,7,None,1,31,27,0.8709677419354839,None,None
4,offline,7,None,2,26,21,0.8076923076923077,None,None
4,offline,7,None,3,40,35,0.875,None,None
5,offline,0,None,1,26,15,0.5769230769230769,None,None
5,offline,0,None,2,33,13,0.3939393939393939,None,None
5,offline,0,None,3,38,12,0.3157894736842105,None,None
5,offline,1,None,1,26,15,0.5769230769230769,None,None
5,offline,1,None,2,33,13,0.3939393939393939,None,None
5,offline,1,None,3,38,25,0.6578947368421053,None,None
5,offline,2,None,1,26,19,0.7307692307692307,None,None
5,offline,2,None,2,33,32,0.9696969696969697,None,None
5,offline,2,None,3,38,30,0.7894736842105263,None,None
5,offline,3,None,1,26,15,0.5769230769230769,None,None
5,offline,3,None,2,33,32,0.9696969696969697,None,None
5,offline,3,None,3,38,31,0.8157894736842105,None,None
5,offline,4,None,1,26,20,0.7692307692307693,None,None
5,offline,4,None,2,33,32,0.9696969696969697,None,None
5,offline,4,None,3,38,30,0.7894736842105263,None,None
5,offline,5,None,1,26,20,0.7692307692307693,None,None
5,offline,5,None,2,33,32,0.9696969696969697,None,None
5,offline,5,None,3,38,30,0.7894736842105263,None,None
5,offline,6,None,1,26,21,0.8076923076923077,None,None
5,offline,6,None,2,33,32,0.9696969696969697,None,None
5,offline,6,None,3,38,30,0.7894736842105263,None,None
5,offline,7,None,1,26,25,0.9615384615384616,None,None
5,offline,7,None,2,33,32,0.9696969696969697,None,None
5,offline,7,None,3,38,28,0.7368421052631579,None,None
6,offline,0,None,1,35,15,0.42857142857142855,None,None
6,offline,0,None,2,22,0,0.0,None,None
6,offline,0,None,3,40,15,0.375,None,None
6,offline,1,None,1,35,34,0.9714285714285714,None,None
6,offline,1,None,2,22,10,0.45454545454545453,None,None
6,offline,1,None,3,40,35,0.875,None,None
6,offline,2,None,1,35,34,0.9714285714285714,None,None
6,offline,2,None,2,22,8,0.36363636363636365,None,None
6,offline,2,None,3,40,22,0.55,None,None
6,offline,3,None,1,35,34,0.9714285714285714,None,None
6,offline,3,None,2,22,15,0.6818181818181818,None,None
6,offline,3,None,3,40,35,0.875,None,None
6,offline,4,None,1,35,34,0.9714285714285714,None,None
6,offline,4,None,2,22,16,0.7272727272727273,None,None
6,offline,4,None,3,40,35,0.875,None,None
6,offline,5,None,1,35,34,0.9714285714285714,None,None
6,offline,5,None,2,22,14,0.6363636363636364,None,None
6,offline,5,None,3,40,35,0.875,None,None
6,offline,6,None,1,35,34,0.9714285714285714,None,None
6,offline,6,None,2,22,16,0.7272727272727273,None,None
6,offline,6,None,3,40,35,0.875,None,None
6,offline,7,None,1,35,34,0.9714285714285714,None,None
6,offline,7,None,2,22,16,0.7272727272727273,None,None
6,offline,7,None,3,40,35,0.875,None,None
7,offline,0,None,1,42,0,0.0,None,None
7,offline,0,None,2,31,9,0.2903225806451613,None,None
