task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,40,35,0.875,None,None
0,offline,0,None,2,35,34,0.9714285714285714,None,None
0,offline,0,None,3,22,15,0.6818181818181818,None,None
0,mp-gan,0,1,1,40,39,0.975,8.7318274974823,41.63872313499451
0,mp-gan,0,2,1,40,34,0.85,15.641984701156616,39.117788553237915
0,mp-gan,0,2,2,35,35,1.0,15.641984701156616,39.117788553237915
0,mp-gan,0,3,1,40,16,0.4,14.500860691070557,42.400914669036865
0,mp-gan,0,3,2,35,34,0.9714285714285714,14.500860691070557,42.400914669036865
0,mp-gan,0,3,3,22,10,0.45454545454545453,14.500860691070557,42.400914669036865
0,mp-wgan,0,1,1,40,39,0.975,9.753805875778198,79.73000240325928
0,mp-wgan,0,2,1,40,34,0.85,14.874199390411377,82.83262753486633
0,mp-wgan,0,2,2,35,35,1.0,14.874199390411377,82.83262753486633
0,mp-wgan,0,3,1,40,13,0.325,15.599618196487427,81.6500313282013
0,mp-wgan,0,3,2,35,35,1.0,15.599618196487427,81.6500313282013
0,mp-wgan,0,3,3,22,4,0.18181818181818182,15.599618196487427,81.6500313282013
0,sg-cgan,0,1,1,40,39,0.975,10.830519199371338,141.39232110977173
0,sg-cgan,0,2,1,40,35,0.875,14.476444005966187,277.9496216773987
0,sg-cgan,0,2,2,35,34,0.9714285714285714,14.476444005966187,277.9496216773987
0,sg-cgan,0,3,1,40,29,0.725,14.618514776229858,231.54256772994995
0,sg-cgan,0,3,2,35,34,0.9714285714285714,14.618514776229858,231.54256772994995
0,sg-cgan,0,3,3,22,12,0.5454545454545454,14.618514776229858,231.54256772994995
0,sg-cwgan,0,1,1,40,39,0.975,7.088955879211426,254.19397640228271
0,sg-cwgan,0,2,1,40,34,0.85,16.203500747680664,534.3051307201385
0,sg-cwgan,0,2,2,35,35,1.0,16.203500747680664,534.3051307201385
0,sg-cwgan,0,3,1,40,19,0.475,13.698363780975342,427.3947432041168
0,sg-cwgan,0,3,2,35,35,1.0,13.698363780975342,427.3947432041168
0,sg-cwgan,0,3,3,22,12,0.5454545454545454,13.698363780975342,427.3947432041168
