task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,250,242,0.968,None,None
0,offline,0,None,2,100,95,0.95,None,None
0,offline,0,None,3,200,162,0.81,None,None
0,offline,0,None,4,250,217,0.868,None,None
0,offline,0,None,5,300,229,0.7633333333333333,None,None
0,sg-cgan,0,1,1,250,246,0.984,15.049206495285034,976.4480764865875
0,sg-cgan,0,2,1,250,243,0.972,18.923691034317017,1883.3139472007751
0,sg-cgan,0,2,2,100,94,0.94,18.923691034317017,1883.3139472007751
0,sg-cgan,0,3,1,250,225,0.9,16.562294244766235,1873.139939069748
0,sg-cgan,0,3,2,100,97,0.97,16.562294244766235,1873.139939069748
0,sg-cgan,0,3,3,200,189,0.945,16.562294244766235,1873.139939069748
0,sg-cgan,0,4,1,250,208,0.832,18.041606426239014,1949.8663094043732
0,sg-cgan,0,4,2,100,93,0.93,18.041606426239014,1949.8663094043732
0,sg-cgan,0,4,3,200,186,0.93,18.041606426239014,1949.8663094043732
0,sg-cgan,0,4,4,250,204,0.816,18.041606426239014,1949.8663094043732
0,sg-cgan,0,5,1,250,147,0.588,18.999571561813354,1824.1405119895935
0,sg-cgan,0,5,2,100,84,0.84,18.999571561813354,1824.1405119895935
0,sg-cgan,0,5,3,200,157,0.785,18.999571561813354,1824.1405119895935
0,sg-cgan,0,5,4,250,145,0.58,18.999571561813354,1824.1405119895935
0,sg-cgan,0,5,5,300,260,0.8666666666666667,18.999571561813354,1824.1405119895935
0,sg-cwgan,0,1,1,250,246,0.984,14.407295227050781,1372.156418800354
0,sg-cwgan,0,2,1,250,187,0.748,18.90868592262268,2633.249532222748
0,sg-cwgan,0,2,2,100,78,0.78,18.90868592262268,2633.249532222748
0,sg-cwgan,0,3,1,250,53,0.212,17.958250522613525,2723.5478394031525
0,sg-cwgan,0,3,2,100,8,0.08,17.958250522613525,2723.5478394031525
0,sg-cwgan,0,3,3,200,196,0.98,17.958250522613525,2723.5478394031525
0,sg-cwgan,0,4,1,250,2,0.008,19.200616598129272,2632.1208775043488
0,sg-cwgan,0,4,2,100,0,0.0,19.200616598129272,2632.1208775043488
0,sg-cwgan,0,4,3,200,140,0.7,19.200616598129272,2632.1208775043488
0,sg-cwgan,0,4,4,250,228,0.912,19.200616598129272,2632.1208775043488
0,sg-cwgan,0,5,1,250,8,0.032,18.039162397384644,2720.8204402923584
0,sg-cwgan,0,5,2,100,1,0.01,18.039162397384644,2720.8204402923584
0,sg-cwgan,0,5,3,200,67,0.335,18.039162397384644,2720.8204402923584
0,sg-cwgan,0,5,4,250,28,0.112,18.039162397384644,2720.8204402923584
0,sg-cwgan,0,5,5,300,275,0.9166666666666666,18.039162397384644,2720.8204402923584
0,offline,1,5,1,250,242,0.968,18.039162397384644,2720.8204402923584
