task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,250,238,0.952,None,None
0,offline,0,None,2,100,93,0.93,None,None
0,offline,0,None,3,200,185,0.925,None,None
0,offline,0,None,4,250,175,0.7,None,None
0,offline,0,None,5,300,263,0.8766666666666667,None,None
0,none,0,1,1,250,248,0.992,2.5736544132232666,3.5762786865234375e-06
0,none,0,2,1,250,86,0.344,3.235487222671509,2.1457672119140625e-06
0,none,0,2,2,100,94,0.94,3.235487222671509,2.1457672119140625e-06
0,none,0,3,1,250,0,0.0,3.2231998443603516,2.6226043701171875e-06
0,none,0,3,2,100,13,0.13,3.2231998443603516,2.6226043701171875e-06
0,none,0,3,3,200,194,0.97,3.2231998443603516,2.6226043701171875e-06
0,none,0,4,1,250,0,0.0,3.220075845718384,2.384185791015625e-06
0,none,0,4,2,100,1,0.01,3.220075845718384,2.384185791015625e-06
0,none,0,4,3,200,25,0.125,3.220075845718384,2.384185791015625e-06
0,none,0,4,4,250,241,0.964,3.220075845718384,2.384185791015625e-06
0,none,0,5,1,250,0,0.0,3.267463207244873,2.86102294921875e-06
0,none,0,5,2,100,0,0.0,3.267463207244873,2.86102294921875e-06
0,none,0,5,3,200,11,0.055,3.267463207244873,2.86102294921875e-06
0,none,0,5,4,250,42,0.168,3.267463207244873,2.86102294921875e-06
0,none,0,5,5,300,259,0.8633333333333333,3.267463207244873,2.86102294921875e-06
0,exact,0,1,1,250,248,0.992,2.531301736831665,2.1457672119140625e-06
0,exact,0,2,1,250,249,0.996,5.123819828033447,2.6226043701171875e-06
0,exact,0,2,2,100,88,0.88,5.123819828033447,2.6226043701171875e-06
0,exact,0,3,1,250,245,0.98,5.321322202682495,3.337860107421875e-06
0,exact,0,3,2,100,91,0.91,5.321322202682495,3.337860107421875e-06
0,exact,0,3,3,200,174,0.87,5.321322202682495,3.337860107421875e-06
0,exact,0,4,1,250,242,0.968,5.176712989807129,1.9073486328125e-06
0,exact,0,4,2,100,88,0.88,5.176712989807129,1.9073486328125e-06
0,exact,0,4,3,200,174,0.87,5.176712989807129,1.9073486328125e-06
0,exact,0,4,4,250,220,0.88,5.176712989807129,1.9073486328125e-06
0,exact,0,5,1,250,242,0.968,29.17863392829895,2.86102294921875e-06
0,exact,0,5,2,100,84,0.84,29.17863392829895,2.86102294921875e-06
0,exact,0,5,3,200,169,0.845,29.17863392829895,2.86102294921875e-06
0,exact,0,5,4,250,210,0.84,29.17863392829895,2.86102294921875e-06
0,exact,0,5,5,300,254,0.8466666666666667,29.17863392829895,2.86102294921875e-06
0,mp-gan,0,1,1,250,249,0.996,2.5730679035186768,30.699217796325684
0,mp-gan,0,2,1,250,234,0.936,4.859825611114502,29.575339794158936
0,mp-gan,0,2,2,100,93,0.93,4.859825611114502,29.575339794158936
0,mp-gan,0,3,1,250,149,0.596,4.886790037155151,29.959893226623535
0,mp-gan,0,3,2,100,57,0.57,4.886790037155151,29.959893226623535
0,mp-gan,0,3,3,200,198,0.99,4.886790037155151,29.959893226623535
0,mp-gan,0,4,1,250,106,0.424,4.926488876342773,29.5979745388031
0,mp-gan,0,4,2,100,48,0.48,4.926488876342773,29.5979745388031
0,mp-gan,0,4,3,200,173,0.865,4.926488876342773,29.5979745388031
0,mp-gan,0,4,4,250,225,0.9,4.926488876342773,29.5979745388031
0,mp-gan,0,5,1,250,121,0.484,4.999542951583862,29.93888282775879
0,mp-gan,0,5,2,100,59,0.59,4.999542951583862,29.93888282775879
0,mp-gan,0,5,3,200,84,0.42,4.999542951583862,29.93888282775879
0,mp-gan,0,5,4,250,70,0.28,4.999542951583862,29.93888282775879
0,mp-gan,0,5,5,300,275,0.9166666666666666,4.999542951583862,29.93888282775879
0,mp-wgan,0,1,1,250,248,0.992,2.4188668727874756,50.535573959350586
0,mp-wgan,0,2,1,250,207,0.828,4.805798053741455,50.89604640007019
0,mp-wgan,0,2,2,100,97,0.97,4.805798053741455,50.89604640007019
0,mp-wgan,0,3,1,250,2,0.008,4.949552536010742,52.01757788658142
0,mp-wgan,0,3,2,100,39,0.39,4.949552536010742,52.01757788658142
0,mp-wgan,0,3,3,200,199,0.995,4.949552536010742,52.01757788658142
0,mp-wgan,0,4,1,250,6,0.024,4.9841389656066895,51.371178150177
0,mp-wgan,0,4,2,100,41,0.41,4.9841389656066895,51.371178150177
0,mp-wgan,0,4,3,200,155,0.775,4.9841389656066895,51.371178150177
0,mp-wgan,0,4,4,250,226,0.904,4.9841389656066895,51.371178150177
0,mp-wgan,0,5,1,250,24,0.096,5.110758066177368,51.3005747795105
0,mp-wgan,0,5,2,100,43,0.43,5.110758066177368,51.3005747795105
0,mp-wgan,0,5,3,200,47,0.235,5.110758066177368,51.3005747795105
0,mp-wgan,0,5,4,250,13,0.052,5.110758066177368,51.3005747795105
0,mp-wgan,0,5,5,300,260,0.8666666666666667,5.110758066177368,51.3005747795105
0,sg-cgan,0,1,1,250,247,0.988,2.5217397212982178,64.03109002113342
0,sg-cgan,0,2,1,250,215,0.86,4.988640785217285,125.49580144882202
0,sg-cgan,0,2,2,100,47,0.47,4.988640785217285,125.49580144882202
0,sg-cgan,0,3,1,250,132,0.528,5.011747598648071,125.19939470291138
0,sg-cgan,0,3,2,100,11,0.11,5.011747598648071,125.19939470291138
0,sg-cgan,0,3,3,200,197,0.985,5.011747598648071,125.19939470291138
0,sg-cgan,0,4,1,250,8,0.032,5.053642749786377,126.94284081459045
0,sg-cgan,0,4,2,100,0,0.0,5.053642749786377,126.94284081459045
0,sg-cgan,0,4,3,200,133,0.665,5.053642749786377,126.94284081459045
0,sg-cgan,0,4,4,250,232,0.928,5.053642749786377,126.94284081459045
0,sg-cgan,0,5,1,250,23,0.092,5.169426679611206,125.56236934661865
0,sg-cgan,0,5,2,100,1,0.01,5.169426679611206,125.56236934661865
0,sg-cgan,0,5,3,200,62,0.31,5.169426679611206,125.56236934661865
0,sg-cgan,0,5,4,250,96,0.384,5.169426679611206,125.56236934661865
0,sg-cgan,0,5,5,300,276,0.92,5.169426679611206,125.56236934661865
0,sg-cwgan,0,1,1,250,247,0.988,2.530841588973999,101.65108013153076
0,sg-cwgan,0,2,1,250,235,0.94,4.967417240142822,201.74557662010193
0,sg-cwgan,0,2,2,100,86,0.86,4.967417240142822,201.74557662010193
0,sg-cwgan,0,3,1,250,22,0.088,4.937938690185547,202.63868474960327
0,sg-cwgan,0,3,2,100,26,0.26,4.937938690185547,202.63868474960327
0,sg-cwgan,0,3,3,200,198,0.99,4.937938690185547,202.63868474960327
0,sg-cwgan,0,4,1,250,0,0.0,5.016048431396484,201.22887468338013
0,sg-cwgan,0,4,2,100,1,0.01,5.016048431396484,201.22887468338013
0,sg-cwgan,0,4,3,200,33,0.165,5.016048431396484,201.22887468338013
0,sg-cwgan,0,4,4,250,236,0.944,5.016048431396484,201.22887468338013
0,sg-cwgan,0,5,1,250,0,0.0,5.097539901733398,202.68753337860107
0,sg-cwgan,0,5,2,100,0,0.0,5.097539901733398,202.68753337860107
0,sg-cwgan,0,5,3,200,5,0.025,5.097539901733398,202.68753337860107
0,sg-cwgan,0,5,4,250,65,0.26,5.097539901733398,202.68753337860107
0,sg-cwgan,0,5,5,300,271,0.9033333333333333,5.097539901733398,202.68753337860107
0,lwf,0,1,1,250,248,0.992,2.480701208114624,2.86102294921875e-06
0,lwf,0,2,1,250,86,0.344,3.137047052383423,2.6226043701171875e-06
0,lwf,0,2,2,100,94,0.94,3.137047052383423,2.6226043701171875e-06
0,lwf,0,3,1,250,0,0.0,3.219094753265381,2.6226043701171875e-06
0,lwf,0,3,2,100,13,0.13,3.219094753265381,2.6226043701171875e-06
0,lwf,0,3,3,200,194,0.97,3.219094753265381,2.6226043701171875e-06
0,lwf,0,4,1,250,0,0.0,3.12947678565979,2.86102294921875e-06
0,lwf,0,4,2,100,1,0.01,3.12947678565979,2.86102294921875e-06
0,lwf,0,4,3,200,25,0.125,3.12947678565979,2.86102294921875e-06
0,lwf,0,4,4,250,241,0.964,3.12947678565979,2.86102294921875e-06
0,lwf,0,5,1,250,0,0.0,3.136003017425537,2.384185791015625e-06
0,lwf,0,5,2,100,0,0.0,3.136003017425537,2.384185791015625e-06
0,lwf,0,5,3,200,11,0.055,3.136003017425537,2.384185791015625e-06
0,lwf,0,5,4,250,42,0.168,3.136003017425537,2.384185791015625e-06
0,lwf,0,5,5,300,259,0.8633333333333333,3.136003017425537,2.384185791015625e-06
0,ewc,0,1,1,250,250,1.0,4.777538299560547,2.86102294921875e-06
0,ewc,0,2,1,250,0,0.0,5.06778359413147,2.384185791015625e-06
0,ewc,0,2,2,100,98,0.98,5.06778359413147,2.384185791015625e-06
0,ewc,0,3,1,250,0,0.0,5.1368818283081055,2.384185791015625e-06
0,ewc,0,3,2,100,0,0.0,5.1368818283081055,2.384185791015625e-06
0,ewc,0,3,3,200,199,0.995,5.1368818283081055,2.384185791015625e-06
0,ewc,0,4,1,250,0,0.0,5.127288818359375,3.337860107421875e-06
0,ewc,0,4,2,100,0,0.0,5.127288818359375,3.337860107421875e-06
0,ewc,0,4,3,200,0,0.0,5.127288818359375,3.337860107421875e-06
0,ewc,0,4,4,250,243,0.972,5.127288818359375,3.337860107421875e-06
0,ewc,0,5,1,250,0,0.0,5.14031195640564,2.384185791015625e-06
0,ewc,0,5,2,100,0,0.0,5.14031195640564,2.384185791015625e-06
0,ewc,0,5,3,200,0,0.0,5.14031195640564,2.384185791015625e-06
0,ewc,0,5,4,250,0,0.0,5.14031195640564,2.384185791015625e-06
0,ewc,0,5,5,300,279,0.93,5.14031195640564,2.384185791015625e-06
1,offline,0,None,1,350,299,0.8542857142857143,None,None
1,offline,0,None,2,200,106,0.53,None,None
1,offline,0,None,3,150,138,0.92,None,None
1,offline,0,None,4,200,173,0.865,None,None
1,offline,0,None,5,300,273,0.91,None,None
1,none,0,1,1,350,349,0.9971428571428571,4.830714702606201,3.337860107421875e-06
1,none,0,2,1,350,0,0.0,5.052917242050171,2.86102294921875e-06
1,none,0,2,2,200,200,1.0,5.052917242050171,2.86102294921875e-06
1,none,0,3,1,350,0,0.0,5.057531833648682,2.6226043701171875e-06
1,none,0,3,2,200,0,0.0,5.057531833648682,2.6226043701171875e-06
1,none,0,3,3,150,144,0.96,5.057531833648682,2.6226043701171875e-06
1,none,0,4,1,350,0,0.0,5.01517128944397,3.0994415283203125e-06
1,none,0,4,2,200,0,0.0,5.01517128944397,3.0994415283203125e-06
1,none,0,4,3,150,0,0.0,5.01517128944397,3.0994415283203125e-06
1,none,0,4,4,200,196,0.98,5.01517128944397,3.0994415283203125e-06
1,none,0,5,1,350,0,0.0,5.01320219039917,3.5762786865234375e-06
1,none,0,5,2,200,0,0.0,5.01320219039917,3.5762786865234375e-06
1,none,0,5,3,150,0,0.0,5.01320219039917,3.5762786865234375e-06
1,none,0,5,4,200,0,0.0,5.01320219039917,3.5762786865234375e-06
1,none,0,5,5,300,283,0.9433333333333334,5.01320219039917,3.5762786865234375e-06
1,exact,0,1,1,350,349,0.9971428571428571,4.788362741470337,2.6226043701171875e-06
1,exact,0,2,1,350,340,0.9714285714285714,6.692344665527344,2.6226043701171875e-06
1,exact,0,2,2,200,188,0.94,6.692344665527344,2.6226043701171875e-06
1,exact,0,3,1,350,341,0.9742857142857143,6.681682109832764,2.1457672119140625e-06
1,exact,0,3,2,200,160,0.8,6.681682109832764,2.1457672119140625e-06
1,exact,0,3,3,150,144,0.96,6.681682109832764,2.1457672119140625e-06
1,exact,0,4,1,350,336,0.96,6.705926895141602,2.86102294921875e-06
1,exact,0,4,2,200,180,0.9,6.705926895141602,2.86102294921875e-06
1,exact,0,4,3,150,147,0.98,6.705926895141602,2.86102294921875e-06
1,exact,0,4,4,200,184,0.92,6.705926895141602,2.86102294921875e-06
1,exact,0,5,1,350,337,0.9628571428571429,6.71915078163147,2.384185791015625e-06
1,exact,0,5,2,200,167,0.835,6.71915078163147,2.384185791015625e-06
1,exact,0,5,3,150,143,0.9533333333333334,6.71915078163147,2.384185791015625e-06
1,exact,0,5,4,200,191,0.955,6.71915078163147,2.384185791015625e-06
1,exact,0,5,5,300,291,0.97,6.71915078163147,2.384185791015625e-06
1,mp-gan,0,1,1,350,349,0.9971428571428571,4.810631275177002,29.956880807876587
1,mp-gan,0,2,1,350,105,0.3,6.676737308502197,30.217940092086792
1,mp-gan,0,2,2,200,200,1.0,6.676737308502197,30.217940092086792
1,mp-gan,0,3,1,350,85,0.24285714285714285,7.01317572593689,29.979686975479126
1,mp-gan,0,3,2,200,12,0.06,7.01317572593689,29.979686975479126
1,mp-gan,0,3,3,150,149,0.9933333333333333,7.01317572593689,29.979686975479126
1,mp-gan,0,4,1,350,56,0.16,6.6285927295684814,30.062544345855713
1,mp-gan,0,4,2,200,1,0.005,6.6285927295684814,30.062544345855713
1,mp-gan,0,4,3,150,91,0.6066666666666667,6.6285927295684814,30.062544345855713
1,mp-gan,0,4,4,200,197,0.985,6.6285927295684814,30.062544345855713
1,mp-gan,0,5,1,350,108,0.30857142857142855,6.697271823883057,29.898675441741943
1,mp-gan,0,5,2,200,37,0.185,6.697271823883057,29.898675441741943
1,mp-gan,0,5,3,150,112,0.7466666666666667,6.697271823883057,29.898675441741943
1,mp-gan,0,5,4,200,55,0.275,6.697271823883057,29.898675441741943
1,mp-gan,0,5,5,300,297,0.99,6.697271823883057,29.898675441741943
1,mp-wgan,0,1,1,350,349,0.9971428571428571,4.804526090621948,51.86453032493591
1,mp-wgan,0,2,1,350,0,0.0,6.686956167221069,51.36594200134277
1,mp-wgan,0,2,2,200,200,1.0,6.686956167221069,51.36594200134277
1,mp-wgan,0,3,1,350,0,0.0,6.690786123275757,51.412505865097046
1,mp-wgan,0,3,2,200,0,0.0,6.690786123275757,51.412505865097046
1,mp-wgan,0,3,3,150,146,0.9733333333333334,6.690786123275757,51.412505865097046
1,mp-wgan,0,4,1,350,0,0.0,6.6624755859375,52.41663837432861
1,mp-wgan,0,4,2,200,0,0.0,6.6624755859375,52.41663837432861
1,mp-wgan,0,4,3,150,0,0.0,6.6624755859375,52.41663837432861
1,mp-wgan,0,4,4,200,189,0.945,6.6624755859375,52.41663837432861
1,mp-wgan,0,5,1,350,0,0.0,6.705857753753662,51.363725900650024
1,mp-wgan,0,5,2,200,0,0.0,6.705857753753662,51.363725900650024
1,mp-wgan,0,5,3,150,32,0.21333333333333335,6.705857753753662,51.363725900650024
1,mp-wgan,0,5,4,200,67,0.335,6.705857753753662,51.363725900650024
1,mp-wgan,0,5,5,300,281,0.9366666666666666,6.705857753753662,51.363725900650024
1,sg-cgan,0,1,1,350,348,0.9942857142857143,4.89956521987915,63.83063459396362
1,sg-cgan,0,2,1,350,19,0.054285714285714284,6.638951778411865,125.97989130020142
1,sg-cgan,0,2,2,200,200,1.0,6.638951778411865,125.97989130020142
1,sg-cgan,0,3,1,350,10,0.02857142857142857,6.648565292358398,127.0083155632019
1,sg-cgan,0,3,2,200,8,0.04,6.648565292358398,127.0083155632019
1,sg-cgan,0,3,3,150,149,0.9933333333333333,6.648565292358398,127.0083155632019
1,sg-cgan,0,4,1,350,0,0.0,6.790085554122925,125.1309266090393
1,sg-cgan,0,4,2,200,1,0.005,6.790085554122925,125.1309266090393
1,sg-cgan,0,4,3,150,39,0.26,6.790085554122925,125.1309266090393
1,sg-cgan,0,4,4,200,196,0.98,6.790085554122925,125.1309266090393
1,sg-cgan,0,5,1,350,4,0.011428571428571429,6.6920623779296875,125.74358987808228
1,sg-cgan,0,5,2,200,0,0.0,6.6920623779296875,125.74358987808228
1,sg-cgan,0,5,3,150,66,0.44,6.6920623779296875,125.74358987808228
1,sg-cgan,0,5,4,200,66,0.33,6.6920623779296875,125.74358987808228
1,sg-cgan,0,5,5,300,290,0.9666666666666667,6.6920623779296875,125.74358987808228
1,sg-cwgan,0,1,1,350,348,0.9942857142857143,4.769055366516113,100.45071029663086
1,sg-cwgan,0,2,1,350,0,0.0,6.513157844543457,197.71686100959778
1,sg-cwgan,0,2,2,200,200,1.0,6.513157844543457,197.71686100959778
1,sg-cwgan,0,3,1,350,0,0.0,6.500323534011841,197.60037064552307
1,sg-cwgan,0,3,2,200,0,0.0,6.500323534011841,197.60037064552307
1,sg-cwgan,0,3,3,150,149,0.9933333333333333,6.500323534011841,197.60037064552307
1,sg-cwgan,0,4,1,350,0,0.0,6.52573823928833,198.7585232257843
1,sg-cwgan,0,4,2,200,0,0.0,6.52573823928833,198.7585232257843
1,sg-cwgan,0,4,3,150,59,0.3933333333333333,6.52573823928833,198.7585232257843
