class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,mp-gan,1000,1000,0.818,0.894,8.591627607808197,0.22407126854769624,0.15561202458595463,854.0,0.0,146.0,1000.0
lying,mp-gan,740,1000,0.754054054054054,1.0,1.0006156125359311,7.380896698435501e-05,0.4598048891010836,724.0,0.0,16.0,1000.0
sitting,mp-gan,710,1000,0.7704225352112676,1.0,1.0000001986894436,3.880167582182767e-08,0.4899198579450136,689.0,0.0,21.0,1000.0
standing,mp-gan,727,1000,0.3108665749656121,0.0,1.000229328026951,3.044341281566543e-05,0.642189070428195,725.0,0.0,2.0,1000.0
ironing,mp-gan,917,1000,0.9345692475463467,1.0,1.0024352586163674,0.0004082137038906777,0.5629138483767075,884.0,0.0,33.0,1000.0
vacuum cleaning,mp-gan,673,1000,0.888558692421991,1.0,1.0005567115152196,7.093510112097387e-05,0.3923642918880719,568.0,0.0,105.0,1000.0
ascending stairs,mp-gan,434,1000,0.9354838709677419,1.0,1.0000851554173498,8.054466828425381e-06,0.4986414333723408,409.0,0.0,25.0,1000.0
walking,mp-gan,886,1000,0.9401805869074492,1.0,1.0005894529057096,6.729594066151923e-05,0.5030734254928129,858.0,0.0,28.0,1000.0
descending stairs,mp-gan,384,1000,0.84375,0.991,1.0006282200264718,7.127616365114564e-05,0.65335324693356,380.0,0.0,4.0,1000.0
cycling,mp-gan,628,1000,0.9777070063694268,1.0,1.0002935550745131,3.863991562097975e-05,0.5706582262575153,617.0,0.0,11.0,1000.0
running,mp-gan,352,1000,0.9517045454545454,1.0,1.0012858306102752,0.00014879082554600793,0.523115599991034,334.0,0.0,18.0,1000.0
all,mp-wgan,1000,1000,0.816,0.438,4.368727165108192,0.37397557261189845,0.5926422275580985,999.0,2.0,1.0,998.0
lying,mp-wgan,740,1000,0.754054054054054,0.0,1.0007663249834018,7.377781270277312e-05,1.0983089257819638,740.0,0.0,0.0,1000.0
sitting,mp-wgan,710,1000,0.7704225352112676,0.0,1.0,0.0,0.9457343870382258,710.0,0.0,0.0,1000.0
standing,mp-wgan,727,1000,0.3108665749656121,0.0,1.0002168236883309,3.5921702294343737e-05,1.0470812010879351,727.0,0.0,0.0,1000.0
ironing,mp-wgan,917,1000,0.9345692475463467,0.0,1.0004853373255114,5.725105795139305e-05,1.0376924359285133,917.0,0.0,0.0,1000.0
vacuum cleaning,mp-wgan,673,1000,0.888558692421991,1.0,1.0000676750348352,1.6237249048995498e-05,1.114370836816051,673.0,0.0,0.0,1000.0
ascending stairs,mp-wgan,434,1000,0.9354838709677419,0.0,1.0000000000000022,6.240994087105632e-16,1.151121778275083,434.0,0.0,0.0,1000.0
walking,mp-wgan,886,1000,0.9401805869074492,0.0,1.0005938906900371,8.893496225444575e-05,1.2576809452991076,886.0,0.0,0.0,1000.0
descending stairs,mp-wgan,384,1000,0.84375,1.0,1.0001045086877152,2.407416709969153e-05,1.09197363335354,384.0,0.0,0.0,1000.0
cycling,mp-wgan,628,1000,0.9777070063694268,1.0,1.0000088935997529,1.4000669089035938e-06,1.2525239259182073,628.0,0.0,0.0,1000.0
running,mp-wgan,352,1000,0.9517045454545454,1.0,1.0001349572938367,2.7533698231664475e-05,0.9178302416906684,352.0,0.0,0.0,1000.0
all,sg-cgan,1000,1000,0.831,0.901,7.684003407404785,0.16429810672732267,0.20171512473444042,925.0,1.0,75.0,999.0
