task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,3,None,1,250,235,0.94,None,None
0,offline,3,None,2,100,89,0.89,None,None
0,offline,3,None,3,200,183,0.915,None,None
0,offline,3,None,4,250,165,0.66,None,None
0,offline,3,None,5,300,270,0.9,None,None
0,mp-gan,3,1,1,250,249,0.996,2.0111091136932373,124.93059611320496
0,mp-gan,3,2,1,250,242,0.968,4.131422281265259,125.35766386985779
0,mp-gan,3,2,2,100,97,0.97,4.131422281265259,125.35766386985779
0,mp-gan,3,3,1,250,227,0.908,4.130009174346924,124.94293785095215
0,mp-gan,3,3,2,100,87,0.87,4.130009174346924,124.94293785095215
0,mp-gan,3,3,3,200,198,0.99,4.130009174346924,124.94293785095215
0,mp-gan,3,4,1,250,223,0.892,4.109067678451538,125.92706561088562
0,mp-gan,3,4,2,100,88,0.88,4.109067678451538,125.92706561088562
0,mp-gan,3,4,3,200,190,0.95,4.109067678451538,125.92706561088562
0,mp-gan,3,4,4,250,205,0.82,4.109067678451538,125.92706561088562
0,mp-gan,3,5,1,250,218,0.872,4.191229820251465,125.58465456962585
0,mp-gan,3,5,2,100,93,0.93,4.191229820251465,125.58465456962585
0,mp-gan,3,5,3,200,184,0.92,4.191229820251465,125.58465456962585
0,mp-gan,3,5,4,250,193,0.772,4.191229820251465,125.58465456962585
0,mp-gan,3,5,5,300,259,0.8633333333333333,4.191229820251465,125.58465456962585
0,mp-wgan,3,1,1,250,249,0.996,1.9961199760437012,228.55430507659912
0,mp-wgan,3,2,1,250,69,0.276,4.145463466644287,228.4129717350006
0,mp-wgan,3,2,2,100,95,0.95,4.145463466644287,228.4129717350006
0,mp-wgan,3,3,1,250,0,0.0,4.1562559604644775,249.21325135231018
0,mp-wgan,3,3,2,100,65,0.65,4.1562559604644775,249.21325135231018
0,mp-wgan,3,3,3,200,195,0.975,4.1562559604644775,249.21325135231018
0,mp-wgan,3,4,1,250,0,0.0,4.102837085723877,276.49725103378296
0,mp-wgan,3,4,2,100,74,0.74,4.102837085723877,276.49725103378296
0,mp-wgan,3,4,3,200,176,0.88,4.102837085723877,276.49725103378296
0,mp-wgan,3,4,4,250,212,0.848,4.102837085723877,276.49725103378296
0,mp-wgan,3,5,1,250,0,0.0,4.162512540817261,247.57284140586853
0,mp-wgan,3,5,2,100,68,0.68,4.162512540817261,247.57284140586853
0,mp-wgan,3,5,3,200,121,0.605,4.162512540817261,247.57284140586853
0,mp-wgan,3,5,4,250,56,0.224,4.162512540817261,247.57284140586853
0,mp-wgan,3,5,5,300,274,0.9133333333333333,4.162512540817261,247.57284140586853
1,offline,3,None,1,350,312,0.8914285714285715,None,None
1,offline,3,None,2,200,111,0.555,None,None
1,offline,3,None,3,150,139,0.9266666666666666,None,None
1,offline,3,None,4,200,192,0.96,None,None
1,offline,3,None,5,300,271,0.9033333333333333,None,None
1,mp-gan,3,1,1,350,349,0.9971428571428571,1.9850502014160156,126.0830750465393
1,mp-gan,3,2,1,350,254,0.7257142857142858,4.061494588851929,125.11136865615845
1,mp-gan,3,2,2,200,200,1.0,4.061494588851929,125.11136865615845
1,mp-gan,3,3,1,350,251,0.7171428571428572,4.08900260925293,126.48749256134033
1,mp-gan,3,3,2,200,188,0.94,4.08900260925293,126.48749256134033
1,mp-gan,3,3,3,150,140,0.9333333333333333,4.08900260925293,126.48749256134033
1,mp-gan,3,4,1,350,227,0.6485714285714286,4.078654766082764,125.06833624839783
1,mp-gan,3,4,2,200,162,0.81,4.078654766082764,125.06833624839783
1,mp-gan,3,4,3,150,138,0.92,4.078654766082764,125.06833624839783
1,mp-gan,3,4,4,200,185,0.925,4.078654766082764,125.06833624839783
