task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,250,237,0.948,None,None
0,offline,0,None,2,100,89,0.89,None,None
0,offline,0,None,3,200,182,0.91,None,None
0,offline,0,None,4,250,173,0.692,None,None
0,offline,0,None,5,300,262,0.8733333333333333,None,None
0,none,0,1,1,250,248,0.992,2.08380126953125,1.6689300537109375e-06
0,none,0,2,1,250,83,0.332,2.61844801902771,1.6689300537109375e-06
0,none,0,2,2,100,96,0.96,2.61844801902771,1.6689300537109375e-06
0,none,0,3,1,250,0,0.0,2.5940215587615967,1.9073486328125e-06
0,none,0,3,2,100,4,0.04,2.5940215587615967,1.9073486328125e-06
0,none,0,3,3,200,195,0.975,2.5940215587615967,1.9073486328125e-06
0,none,0,4,1,250,0,0.0,2.609138250350952,1.430511474609375e-06
0,none,0,4,2,100,0,0.0,2.609138250350952,1.430511474609375e-06
0,none,0,4,3,200,22,0.11,2.609138250350952,1.430511474609375e-06
0,none,0,4,4,250,243,0.972,2.609138250350952,1.430511474609375e-06
0,none,0,5,1,250,0,0.0,2.6013777256011963,1.6689300537109375e-06
0,none,0,5,2,100,2,0.02,2.6013777256011963,1.6689300537109375e-06
0,none,0,5,3,200,24,0.12,2.6013777256011963,1.6689300537109375e-06
0,none,0,5,4,250,41,0.164,2.6013777256011963,1.6689300537109375e-06
0,none,0,5,5,300,241,0.8033333333333333,2.6013777256011963,1.6689300537109375e-06
0,exact,0,1,1,250,248,0.992,2.068779945373535,1.6689300537109375e-06
0,exact,0,2,1,250,249,0.996,4.250089406967163,2.1457672119140625e-06
0,exact,0,2,2,100,90,0.9,4.250089406967163,2.1457672119140625e-06
0,exact,0,3,1,250,245,0.98,4.306971549987793,1.430511474609375e-06
0,exact,0,3,2,100,92,0.92,4.306971549987793,1.430511474609375e-06
0,exact,0,3,3,200,174,0.87,4.306971549987793,1.430511474609375e-06
0,exact,0,4,1,250,242,0.968,4.391575336456299,1.9073486328125e-06
0,exact,0,4,2,100,91,0.91,4.391575336456299,1.9073486328125e-06
0,exact,0,4,3,200,176,0.88,4.391575336456299,1.9073486328125e-06
0,exact,0,4,4,250,217,0.868,4.391575336456299,1.9073486328125e-06
0,exact,0,5,1,250,242,0.968,4.4088239669799805,2.1457672119140625e-06
0,exact,0,5,2,100,89,0.89,4.4088239669799805,2.1457672119140625e-06
0,exact,0,5,3,200,170,0.85,4.4088239669799805,2.1457672119140625e-06
0,exact,0,5,4,250,210,0.84,4.4088239669799805,2.1457672119140625e-06
0,exact,0,5,5,300,255,0.85,4.4088239669799805,2.1457672119140625e-06
0,mp-gan,0,1,1,250,249,0.996,2.1862943172454834,25.701146841049194
0,mp-gan,0,2,1,250,231,0.924,4.303787708282471,25.65714454650879
0,mp-gan,0,2,2,100,93,0.93,4.303787708282471,25.65714454650879
0,mp-gan,0,3,1,250,154,0.616,4.259670972824097,25.485530376434326
0,mp-gan,0,3,2,100,50,0.5,4.259670972824097,25.485530376434326
0,mp-gan,0,3,3,200,199,0.995,4.259670972824097,25.485530376434326
0,mp-gan,0,4,1,250,119,0.476,4.275906085968018,25.52404260635376
0,mp-gan,0,4,2,100,58,0.58,4.275906085968018,25.52404260635376
0,mp-gan,0,4,3,200,166,0.83,4.275906085968018,25.52404260635376
0,mp-gan,0,4,4,250,217,0.868,4.275906085968018,25.52404260635376
0,mp-gan,0,5,1,250,136,0.544,4.318557024002075,25.54730796813965
0,mp-gan,0,5,2,100,61,0.61,4.318557024002075,25.54730796813965
0,mp-gan,0,5,3,200,99,0.495,4.318557024002075,25.54730796813965
0,mp-gan,0,5,4,250,71,0.284,4.318557024002075,25.54730796813965
0,mp-gan,0,5,5,300,267,0.89,4.318557024002075,25.54730796813965
0,mp-wgan,0,1,1,250,248,0.992,2.0691981315612793,53.86598801612854
0,mp-wgan,0,2,1,250,218,0.872,4.272308588027954,53.0780131816864
0,mp-wgan,0,2,2,100,97,0.97,4.272308588027954,53.0780131816864
0,mp-wgan,0,3,1,250,68,0.272,4.412795782089233,53.403310775756836
0,mp-wgan,0,3,2,100,41,0.41,4.412795782089233,53.403310775756836
0,mp-wgan,0,3,3,200,199,0.995,4.412795782089233,53.403310775756836
0,mp-wgan,0,4,1,250,8,0.032,4.262380123138428,56.83984565734863
0,mp-wgan,0,4,2,100,39,0.39,4.262380123138428,56.83984565734863
0,mp-wgan,0,4,3,200,47,0.235,4.262380123138428,56.83984565734863
0,mp-wgan,0,4,4,250,239,0.956,4.262380123138428,56.83984565734863
0,mp-wgan,0,5,1,250,15,0.06,4.244908094406128,54.52278923988342
0,mp-wgan,0,5,2,100,49,0.49,4.244908094406128,54.52278923988342
0,mp-wgan,0,5,3,200,46,0.23,4.244908094406128,54.52278923988342
0,mp-wgan,0,5,4,250,41,0.164,4.244908094406128,54.52278923988342
0,mp-wgan,0,5,5,300,269,0.8966666666666666,4.244908094406128,54.52278923988342
0,sg-cgan,0,1,1,250,247,0.988,2.0651538372039795,64.88653421401978
0,sg-cgan,0,2,1,250,214,0.856,4.262966156005859,129.35839581489563
0,sg-cgan,0,2,2,100,48,0.48,4.262966156005859,129.35839581489563
0,sg-cgan,0,3,1,250,181,0.724,4.3003199100494385,128.66256666183472
0,sg-cgan,0,3,2,100,39,0.39,4.3003199100494385,128.66256666183472
0,sg-cgan,0,3,3,200,196,0.98,4.3003199100494385,128.66256666183472
0,sg-cgan,0,4,1,250,160,0.64,4.3262341022491455,130.2135672569275
0,sg-cgan,0,4,2,100,39,0.39,4.3262341022491455,130.2135672569275
0,sg-cgan,0,4,3,200,84,0.42,4.3262341022491455,130.2135672569275
0,sg-cgan,0,4,4,250,217,0.868,4.3262341022491455,130.2135672569275
0,sg-cgan,0,5,1,250,143,0.572,4.267491579055786,129.19916605949402
0,sg-cgan,0,5,2,100,48,0.48,4.267491579055786,129.19916605949402
0,sg-cgan,0,5,3,200,24,0.12,4.267491579055786,129.19916605949402
0,sg-cgan,0,5,4,250,83,0.332,4.267491579055786,129.19916605949402
0,sg-cgan,0,5,5,300,233,0.7766666666666666,4.267491579055786,129.19916605949402
0,sg-cwgan,0,1,1,250,247,0.988,2.0852856636047363,127.70050096511841
0,sg-cwgan,0,2,1,250,234,0.936,4.265440940856934,255.46391201019287
0,sg-cwgan,0,2,2,100,85,0.85,4.265440940856934,255.46391201019287
0,sg-cwgan,0,3,1,250,25,0.1,4.2271153926849365,254.4280514717102
0,sg-cwgan,0,3,2,100,27,0.27,4.2271153926849365,254.4280514717102
0,sg-cwgan,0,3,3,200,198,0.99,4.2271153926849365,254.4280514717102
0,sg-cwgan,0,4,1,250,0,0.0,4.290664196014404,244.16560792922974
0,sg-cwgan,0,4,2,100,4,0.04,4.290664196014404,244.16560792922974
0,sg-cwgan,0,4,3,200,20,0.1,4.290664196014404,244.16560792922974
0,sg-cwgan,0,4,4,250,239,0.956,4.290664196014404,244.16560792922974
0,sg-cwgan,0,5,1,250,0,0.0,4.247422933578491,256.49555921554565
0,sg-cwgan,0,5,2,100,17,0.17,4.247422933578491,256.49555921554565
0,sg-cwgan,0,5,3,200,34,0.17,4.247422933578491,256.49555921554565
0,sg-cwgan,0,5,4,250,65,0.26,4.247422933578491,256.49555921554565
0,sg-cwgan,0,5,5,300,273,0.91,4.247422933578491,256.49555921554565
0,lwf,0,1,1,250,248,0.992,2.089836835861206,1.6689300537109375e-06
0,lwf,0,2,1,250,83,0.332,2.6114869117736816,1.6689300537109375e-06
0,lwf,0,2,2,100,96,0.96,2.6114869117736816,1.6689300537109375e-06
0,lwf,0,3,1,250,0,0.0,2.630988359451294,1.6689300537109375e-06
0,lwf,0,3,2,100,4,0.04,2.630988359451294,1.6689300537109375e-06
0,lwf,0,3,3,200,195,0.975,2.630988359451294,1.6689300537109375e-06
0,lwf,0,4,1,250,0,0.0,2.617952585220337,2.1457672119140625e-06
0,lwf,0,4,2,100,0,0.0,2.617952585220337,2.1457672119140625e-06
0,lwf,0,4,3,200,22,0.11,2.617952585220337,2.1457672119140625e-06
0,lwf,0,4,4,250,243,0.972,2.617952585220337,2.1457672119140625e-06
0,lwf,0,5,1,250,0,0.0,2.6329197883605957,1.430511474609375e-06
0,lwf,0,5,2,100,2,0.02,2.6329197883605957,1.430511474609375e-06
0,lwf,0,5,3,200,24,0.12,2.6329197883605957,1.430511474609375e-06
0,lwf,0,5,4,250,41,0.164,2.6329197883605957,1.430511474609375e-06
0,lwf,0,5,5,300,241,0.8033333333333333,2.6329197883605957,1.430511474609375e-06
0,ewc,0,1,1,250,250,1.0,4.403195858001709,1.9073486328125e-06
0,ewc,0,2,1,250,0,0.0,4.49927282333374,1.9073486328125e-06
0,ewc,0,2,2,100,98,0.98,4.49927282333374,1.9073486328125e-06
0,ewc,0,3,1,250,0,0.0,4.534595966339111,1.9073486328125e-06
0,ewc,0,3,2,100,0,0.0,4.534595966339111,1.9073486328125e-06
0,ewc,0,3,3,200,199,0.995,4.534595966339111,1.9073486328125e-06
0,ewc,0,4,1,250,0,0.0,4.4955480098724365,5.9604644775390625e-06
0,ewc,0,4,2,100,0,0.0,4.4955480098724365,5.9604644775390625e-06
0,ewc,0,4,3,200,0,0.0,4.4955480098724365,5.9604644775390625e-06
0,ewc,0,4,4,250,242,0.968,4.4955480098724365,5.9604644775390625e-06
0,ewc,0,5,1,250,0,0.0,4.5998215675354,2.1457672119140625e-06
0,ewc,0,5,2,100,0,0.0,4.5998215675354,2.1457672119140625e-06
0,ewc,0,5,3,200,0,0.0,4.5998215675354,2.1457672119140625e-06
0,ewc,0,5,4,250,0,0.0,4.5998215675354,2.1457672119140625e-06
0,ewc,0,5,5,300,275,0.9166666666666666,4.5998215675354,2.1457672119140625e-06
0,offline,1,5,1,250,237,0.948,4.5998215675354,2.1457672119140625e-06
0,offline,1,5,2,100,89,0.89,4.5998215675354,2.1457672119140625e-06
0,offline,1,5,3,200,182,0.91,4.5998215675354,2.1457672119140625e-06
0,offline,1,5,4,250,173,0.692,4.5998215675354,2.1457672119140625e-06
0,offline,1,5,5,300,262,0.8733333333333333,4.5998215675354,2.1457672119140625e-06
0,none,1,1,1,250,248,0.992,2.087024688720703,1.9073486328125e-06
0,none,1,2,1,250,83,0.332,2.6177845001220703,2.1457672119140625e-06
0,none,1,2,2,100,96,0.96,2.6177845001220703,2.1457672119140625e-06
0,none,1,3,1,250,0,0.0,2.6098315715789795,2.384185791015625e-06
0,none,1,3,2,100,4,0.04,2.6098315715789795,2.384185791015625e-06
0,none,1,3,3,200,195,0.975,2.6098315715789795,2.384185791015625e-06
0,none,1,4,1,250,0,0.0,2.6521975994110107,1.9073486328125e-06
0,none,1,4,2,100,0,0.0,2.6521975994110107,1.9073486328125e-06
0,none,1,4,3,200,22,0.11,2.6521975994110107,1.9073486328125e-06
0,none,1,4,4,250,243,0.972,2.6521975994110107,1.9073486328125e-06
0,none,1,5,1,250,0,0.0,2.6336007118225098,1.6689300537109375e-06
0,none,1,5,2,100,2,0.02,2.6336007118225098,1.6689300537109375e-06
0,none,1,5,3,200,24,0.12,2.6336007118225098,1.6689300537109375e-06
0,none,1,5,4,250,41,0.164,2.6336007118225098,1.6689300537109375e-06
0,none,1,5,5,300,241,0.8033333333333333,2.6336007118225098,1.6689300537109375e-06
0,exact,1,1,1,250,248,0.992,2.069298028945923,1.430511474609375e-06
0,exact,1,2,1,250,249,0.996,4.260133266448975,1.6689300537109375e-06
0,exact,1,2,2,100,90,0.9,4.260133266448975,1.6689300537109375e-06
0,exact,1,3,1,250,245,0.98,4.28361439704895,1.430511474609375e-06
0,exact,1,3,2,100,92,0.92,4.28361439704895,1.430511474609375e-06
0,exact,1,3,3,200,174,0.87,4.28361439704895,1.430511474609375e-06
0,exact,1,4,1,250,242,0.968,4.285837650299072,1.6689300537109375e-06
0,exact,1,4,2,100,91,0.91,4.285837650299072,1.6689300537109375e-06
0,exact,1,4,3,200,176,0.88,4.285837650299072,1.6689300537109375e-06
0,exact,1,4,4,250,217,0.868,4.285837650299072,1.6689300537109375e-06
0,exact,1,5,1,250,242,0.968,4.332594394683838,1.9073486328125e-06
0,exact,1,5,2,100,89,0.89,4.332594394683838,1.9073486328125e-06
0,exact,1,5,3,200,170,0.85,4.332594394683838,1.9073486328125e-06
0,exact,1,5,4,250,210,0.84,4.332594394683838,1.9073486328125e-06
0,exact,1,5,5,300,255,0.85,4.332594394683838,1.9073486328125e-06
0,mp-gan,1,1,1,250,248,0.992,2.0693471431732178,27.71160626411438
0,mp-gan,1,2,1,250,198,0.792,4.2580766677856445,27.634151458740234
0,mp-gan,1,2,2,100,98,0.98,4.2580766677856445,27.634151458740234
0,mp-gan,1,3,1,250,158,0.632,4.2640769481658936,27.694005250930786
0,mp-gan,1,3,2,100,55,0.55,4.2640769481658936,27.694005250930786
0,mp-gan,1,3,3,200,196,0.98,4.2640769481658936,27.694005250930786
0,mp-gan,1,4,1,250,101,0.404,4.278937101364136,27.77962064743042
0,mp-gan,1,4,2,100,44,0.44,4.278937101364136,27.77962064743042
0,mp-gan,1,4,3,200,126,0.63,4.278937101364136,27.77962064743042
0,mp-gan,1,4,4,250,236,0.944,4.278937101364136,27.77962064743042
0,mp-gan,1,5,1,250,104,0.416,4.323236465454102,27.718724727630615
0,mp-gan,1,5,2,100,53,0.53,4.323236465454102,27.718724727630615
0,mp-gan,1,5,3,200,82,0.41,4.323236465454102,27.718724727630615
0,mp-gan,1,5,4,250,111,0.444,4.323236465454102,27.718724727630615
0,mp-gan,1,5,5,300,278,0.9266666666666666,4.323236465454102,27.718724727630615
0,mp-wgan,1,1,1,250,248,0.992,2.083768129348755,54.34589648246765
0,mp-wgan,1,2,1,250,174,0.696,4.276857376098633,53.15078520774841
0,mp-wgan,1,2,2,100,97,0.97,4.276857376098633,53.15078520774841
0,mp-wgan,1,3,1,250,74,0.296,4.252784729003906,57.77126955986023
0,mp-wgan,1,3,2,100,36,0.36,4.252784729003906,57.77126955986023
0,mp-wgan,1,3,3,200,197,0.985,4.252784729003906,57.77126955986023
0,mp-wgan,1,4,1,250,2,0.008,4.256620168685913,56.25848579406738
0,mp-wgan,1,4,2,100,24,0.24,4.256620168685913,56.25848579406738
0,mp-wgan,1,4,3,200,71,0.355,4.256620168685913,56.25848579406738
0,mp-wgan,1,4,4,250,233,0.932,4.256620168685913,56.25848579406738
0,mp-wgan,1,5,1,250,4,0.016,4.278935432434082,52.896485805511475
0,mp-wgan,1,5,2,100,33,0.33,4.278935432434082,52.896485805511475
0,mp-wgan,1,5,3,200,63,0.315,4.278935432434082,52.896485805511475
0,mp-wgan,1,5,4,250,33,0.132,4.278935432434082,52.896485805511475
0,mp-wgan,1,5,5,300,257,0.8566666666666667,4.278935432434082,52.896485805511475
0,sg-cgan,1,1,1,250,249,0.996,2.0984725952148438,276.92687726020813
0,sg-cgan,1,2,1,250,226,0.904,4.267026424407959,549.7468445301056
0,sg-cgan,1,2,2,100,89,0.89,4.267026424407959,549.7468445301056
