task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,1,1,250,249,0.996,None,None
0,offline,0,2,1,250,246,0.984,None,None
0,offline,0,2,2,100,96,0.96,None,None
0,offline,0,3,1,250,244,0.976,None,None
0,offline,0,3,2,100,92,0.92,None,None
0,offline,0,3,3,200,196,0.98,None,None
0,offline,0,4,1,250,239,0.956,None,None
0,offline,0,4,2,100,86,0.86,None,None
0,offline,0,4,3,200,195,0.975,None,None
0,offline,0,4,4,250,211,0.844,None,None
0,offline,0,5,1,250,242,0.968,None,None
0,offline,0,5,2,100,78,0.78,None,None
0,offline,0,5,3,200,159,0.795,None,None
0,offline,0,5,4,250,197,0.788,None,None
0,offline,0,5,5,300,246,0.82,None,None
1,offline,0,1,1,350,349,0.9971428571428571,None,None
1,offline,0,2,1,350,316,0.9028571428571428,None,None
1,offline,0,2,2,200,182,0.91,None,None
1,offline,0,3,1,350,326,0.9314285714285714,None,None
1,offline,0,3,2,200,184,0.92,None,None
1,offline,0,3,3,150,141,0.94,None,None
1,offline,0,4,1,350,300,0.8571428571428571,None,None
1,offline,0,4,2,200,159,0.795,None,None
1,offline,0,4,3,150,142,0.9466666666666667,None,None
1,offline,0,4,4,200,192,0.96,None,None
1,offline,0,5,1,350,315,0.9,None,None
1,offline,0,5,2,200,129,0.645,None,None
1,offline,0,5,3,150,136,0.9066666666666666,None,None
1,offline,0,5,4,200,190,0.95,None,None
1,offline,0,5,5,300,248,0.8266666666666667,None,None
2,offline,0,1,1,200,196,0.98,None,None
2,offline,0,2,1,200,194,0.97,None,None
2,offline,0,2,2,200,195,0.975,None,None
2,offline,0,3,1,200,181,0.905,None,None
2,offline,0,3,2,200,187,0.935,None,None
2,offline,0,3,3,200,195,0.975,None,None
2,offline,0,4,1,200,191,0.955,None,None
2,offline,0,4,2,200,180,0.9,None,None
2,offline,0,4,3,200,75,0.375,None,None
2,offline,0,4,4,300,275,0.9166666666666666,None,None
2,offline,0,5,1,200,160,0.8,None,None
2,offline,0,5,2,200,190,0.95,None,None
2,offline,0,5,3,200,183,0.915,None,None
2,offline,0,5,4,300,130,0.43333333333333335,None,None
2,offline,0,5,5,300,248,0.8266666666666667,None,None
3,offline,0,1,1,200,195,0.975,None,None
3,offline,0,2,1,200,195,0.975,None,None
3,offline,0,2,2,150,142,0.9466666666666667,None,None
3,offline,0,3,1,200,194,0.97,None,None
3,offline,0,3,2,150,140,0.9333333333333333,None,None
3,offline,0,3,3,300,289,0.9633333333333334,None,None
3,offline,0,4,1,200,184,0.92,None,None
3,offline,0,4,2,150,137,0.9133333333333333,None,None
3,offline,0,4,3,300,288,0.96,None,None
