task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,300,177,0.59,None,None
0,offline,0,None,2,300,205,0.6833333333333333,None,None
0,offline,0,None,3,200,189,0.945,None,None
0,offline,0,None,4,200,182,0.91,None,None
0,offline,0,None,5,150,141,0.94,None,None
0,offline,1,None,1,300,188,0.6266666666666667,None,None
0,offline,1,None,2,300,202,0.6733333333333333,None,None
0,offline,1,None,3,200,194,0.97,None,None
0,offline,1,None,4,200,187,0.935,None,None
0,offline,1,None,5,150,141,0.94,None,None
0,offline,2,None,1,300,158,0.5266666666666666,None,None
0,offline,2,None,2,300,232,0.7733333333333333,None,None
0,offline,2,None,3,200,167,0.835,None,None
0,offline,2,None,4,200,194,0.97,None,None
0,offline,2,None,5,150,144,0.96,None,None
0,offline,3,None,1,300,220,0.7333333333333333,None,None
0,offline,3,None,2,300,191,0.6366666666666667,None,None
0,offline,3,None,3,200,180,0.9,None,None
0,offline,3,None,4,200,192,0.96,None,None
0,offline,3,None,5,150,143,0.9533333333333334,None,None
0,offline,4,None,1,300,167,0.5566666666666666,None,None
0,offline,4,None,2,300,259,0.8633333333333333,None,None
0,offline,4,None,3,200,180,0.9,None,None
0,offline,4,None,4,200,175,0.875,None,None
0,offline,4,None,5,150,139,0.9266666666666666,None,None
0,offline,5,None,1,300,193,0.6433333333333333,None,None
0,offline,5,None,2,300,226,0.7533333333333333,None,None
0,offline,5,None,3,200,175,0.875,None,None
0,offline,5,None,4,200,190,0.95,None,None
0,offline,5,None,5,150,140,0.9333333333333333,None,None
0,offline,6,None,1,300,145,0.48333333333333334,None,None
0,offline,6,None,2,300,254,0.8466666666666667,None,None
0,offline,6,None,3,200,190,0.95,None,None
0,offline,6,None,4,200,192,0.96,None,None
0,offline,6,None,5,150,142,0.9466666666666667,None,None
0,offline,7,None,1,300,228,0.76,None,None
0,offline,7,None,2,300,234,0.78,None,None
0,offline,7,None,3,200,193,0.965,None,None
0,offline,7,None,4,200,183,0.915,None,None
0,offline,7,None,5,150,141,0.94,None,None
