task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,250,238,0.952,None,None
0,offline,0,None,2,100,75,0.75,None,None
0,offline,0,None,3,200,170,0.85,None,None
0,offline,0,None,4,250,170,0.68,None,None
0,offline,0,None,5,300,154,0.5133333333333333,None,None
0,offline,1,None,1,250,240,0.96,None,None
0,offline,1,None,2,100,90,0.9,None,None
0,offline,1,None,3,200,145,0.725,None,None
0,offline,1,None,4,250,218,0.872,None,None
0,offline,1,None,5,300,139,0.4633333333333333,None,None
0,offline,2,None,1,250,237,0.948,None,None
0,offline,2,None,2,100,96,0.96,None,None
0,offline,2,None,3,200,182,0.91,None,None
0,offline,2,None,4,250,116,0.464,None,None
0,offline,2,None,5,300,237,0.79,None,None
0,offline,3,None,1,250,216,0.864,None,None
0,offline,3,None,2,100,98,0.98,None,None
0,offline,3,None,3,200,108,0.54,None,None
0,offline,3,None,4,250,91,0.364,None,None
0,offline,3,None,5,300,264,0.88,None,None
0,offline,4,None,1,250,241,0.964,None,None
0,offline,4,None,2,100,69,0.69,None,None
0,offline,4,None,3,200,189,0.945,None,None
0,offline,4,None,4,250,169,0.676,None,None
0,offline,4,None,5,300,195,0.65,None,None
0,offline,5,None,1,250,239,0.956,None,None
0,offline,5,None,2,100,95,0.95,None,None
0,offline,5,None,3,200,180,0.9,None,None
0,offline,5,None,4,250,177,0.708,None,None
0,offline,5,None,5,300,172,0.5733333333333334,None,None
0,offline,6,None,1,250,241,0.964,None,None
0,offline,6,None,2,100,93,0.93,None,None
0,offline,6,None,3,200,182,0.91,None,None
0,offline,6,None,4,250,151,0.604,None,None
0,offline,6,None,5,300,231,0.77,None,None
0,offline,7,None,1,250,238,0.952,None,None
0,offline,7,None,2,100,90,0.9,None,None
0,offline,7,None,3,200,161,0.805,None,None
0,offline,7,None,4,250,213,0.852,None,None
0,offline,7,None,5,300,169,0.5633333333333334,None,None
1,offline,0,None,1,350,294,0.84,None,None
1,offline,0,None,2,200,156,0.78,None,None
1,offline,0,None,3,150,137,0.9133333333333333,None,None
1,offline,0,None,4,200,172,0.86,None,None
1,offline,0,None,5,300,113,0.37666666666666665,None,None
