task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,300,227,0.7566666666666667,None,None
0,offline,0,None,2,300,189,0.63,None,None
0,offline,0,None,3,200,190,0.95,None,None
0,offline,0,None,4,200,185,0.925,None,None
0,offline,0,None,5,150,145,0.9666666666666667,None,None
0,mp-gan,0,1,1,300,292,0.9733333333333334,10.11395001411438,36.814539432525635
0,mp-gan,0,2,1,300,154,0.5133333333333333,12.613265991210938,37.936047315597534
0,mp-gan,0,2,2,300,249,0.83,12.613265991210938,37.936047315597534
0,mp-gan,0,3,1,300,214,0.7133333333333334,12.320048809051514,37.67233467102051
0,mp-gan,0,3,2,300,145,0.48333333333333334,12.320048809051514,37.67233467102051
0,mp-gan,0,3,3,200,196,0.98,12.320048809051514,37.67233467102051
0,mp-gan,0,4,1,300,198,0.66,12.556927919387817,37.197513580322266
0,mp-gan,0,4,2,300,118,0.3933333333333333,12.556927919387817,37.197513580322266
0,mp-gan,0,4,3,200,151,0.755,12.556927919387817,37.197513580322266
0,mp-gan,0,4,4,200,139,0.695,12.556927919387817,37.197513580322266
0,mp-gan,0,5,1,300,73,0.24333333333333335,12.894513607025146,37.67025065422058
0,mp-gan,0,5,2,300,120,0.4,12.894513607025146,37.67025065422058
0,mp-gan,0,5,3,200,138,0.69,12.894513607025146,37.67025065422058
0,mp-gan,0,5,4,200,126,0.63,12.894513607025146,37.67025065422058
0,mp-gan,0,5,5,150,140,0.9333333333333333,12.894513607025146,37.67025065422058
0,mp-wgan,0,1,1,300,292,0.9733333333333334,11.671783447265625,67.83158445358276
0,mp-wgan,0,2,1,300,22,0.07333333333333333,13.840982913970947,68.83640432357788
0,mp-wgan,0,2,2,300,257,0.8566666666666667,13.840982913970947,68.83640432357788
0,mp-wgan,0,3,1,300,8,0.02666666666666667,13.32188105583191,71.30924344062805
0,mp-wgan,0,3,2,300,99,0.33,13.32188105583191,71.30924344062805
0,mp-wgan,0,3,3,200,195,0.975,13.32188105583191,71.30924344062805
0,mp-wgan,0,4,1,300,9,0.03,12.597028017044067,72.31761693954468
0,mp-wgan,0,4,2,300,76,0.25333333333333335,12.597028017044067,72.31761693954468
0,mp-wgan,0,4,3,200,147,0.735,12.597028017044067,72.31761693954468
0,mp-wgan,0,4,4,200,193,0.965,12.597028017044067,72.31761693954468
0,mp-wgan,0,5,1,300,11,0.03666666666666667,12.907331943511963,71.77537727355957
0,mp-wgan,0,5,2,300,29,0.09666666666666666,12.907331943511963,71.77537727355957
0,mp-wgan,0,5,3,200,35,0.175,12.907331943511963,71.77537727355957
0,mp-wgan,0,5,4,200,177,0.885,12.907331943511963,71.77537727355957
0,mp-wgan,0,5,5,150,146,0.9733333333333334,12.907331943511963,71.77537727355957
0,sg-cgan,0,1,1,300,299,0.9966666666666667,13.340644121170044,141.70344924926758
0,sg-cgan,0,2,1,300,140,0.4666666666666667,12.741456270217896,273.46103048324585
0,sg-cgan,0,2,2,300,267,0.89,12.741456270217896,273.46103048324585
0,sg-cgan,0,3,1,300,160,0.5333333333333333,12.64533257484436,284.78900814056396
0,sg-cgan,0,3,2,300,163,0.5433333333333333,12.64533257484436,284.78900814056396
0,sg-cgan,0,3,3,200,191,0.955,12.64533257484436,284.78900814056396
0,sg-cgan,0,4,1,300,130,0.43333333333333335,13.970428228378296,291.226539850235
0,sg-cgan,0,4,2,300,164,0.5466666666666666,13.970428228378296,291.226539850235
0,sg-cgan,0,4,3,200,184,0.92,13.970428228378296,291.226539850235
0,sg-cgan,0,4,4,200,180,0.9,13.970428228378296,291.226539850235
0,sg-cgan,0,5,1,300,141,0.47,14.836293935775757,289.42109084129333
0,sg-cgan,0,5,2,300,126,0.42,14.836293935775757,289.42109084129333
0,sg-cgan,0,5,3,200,165,0.825,14.836293935775757,289.42109084129333
0,sg-cgan,0,5,4,200,179,0.895,14.836293935775757,289.42109084129333
0,sg-cgan,0,5,5,150,143,0.9533333333333334,14.836293935775757,289.42109084129333
0,sg-cwgan,0,1,1,300,299,0.9966666666666667,13.133873224258423,212.50696873664856
0,sg-cwgan,0,2,1,300,3,0.01,13.976958274841309,422.27232360839844
0,sg-cwgan,0,2,2,300,279,0.93,13.976958274841309,422.27232360839844
0,sg-cwgan,0,3,1,300,42,0.14,13.970632791519165,429.04485416412354
0,sg-cwgan,0,3,2,300,115,0.38333333333333336,13.970632791519165,429.04485416412354
0,sg-cwgan,0,3,3,200,189,0.945,13.970632791519165,429.04485416412354
0,sg-cwgan,0,4,1,300,48,0.16,14.280779600143433,428.295547246933
0,sg-cwgan,0,4,2,300,53,0.17666666666666667,14.280779600143433,428.295547246933
0,sg-cwgan,0,4,3,200,73,0.365,14.280779600143433,428.295547246933
0,sg-cwgan,0,4,4,200,178,0.89,14.280779600143433,428.295547246933
0,sg-cwgan,0,5,1,300,10,0.03333333333333333,14.027483463287354,424.7629714012146
0,sg-cwgan,0,5,2,300,2,0.006666666666666667,14.027483463287354,424.7629714012146
0,sg-cwgan,0,5,3,200,48,0.24,14.027483463287354,424.7629714012146
0,sg-cwgan,0,5,4,200,164,0.82,14.027483463287354,424.7629714012146
0,sg-cwgan,0,5,5,150,146,0.9733333333333334,14.027483463287354,424.7629714012146
